atomic_promise_id,source_promise_id,category,clean_promise
A212,P212,"Language, Literature, Tradition and Culture","To provide Rs 10,000 honorarium per month to all senior folk artists and performing artists under ""Gangu Bai Hanagal”"
A213,P213,"Language, Literature, Tradition and Culture",To take suitable actions to get the Tulu language declared as Adhikritha Bhashe and to upgrade Tulu Sahitya Academy as Tulu Bhasha Abhivriddhi Pradhikara.
A214,P214,"Language, Literature, Tradition and Culture",To provide Rs. 1 crore grant for the development of the unique Kodava Culture.
A215,P215,Temples and Pilgrim Centres:,"Karnataka has around 1,80,000 temples, of which only 35,500 temples come under the Muzrai department. These temples are neglected by the Muzarai Department. Separate special Pooja Nidhi to be established."
A216,P216,Temples and Pilgrim Centres:,To increase monthly grants to Muzarai temples.
A217,P217,Temples and Pilgrim Centres:,"To set up a “Dharmika Nidhi,” fund of Rs 1,000Crore, for the restoration and renovation of minor temples and Mathas across the state."
A218,P218,Temples and Pilgrim Centres:,"To provide Rs 5,000 honorarium per month to all senior priests [above 60 years of age] of temples, mosques, churches, and other religious institutions after they reach the age of sixty, “Archaka Gowrava Nidhi Scheme."
A219,P219,Temples and Pilgrim Centres:,"To increase the allowances to Rs.5,000/- per month for meeting the expenditure on Poojadravya and honorarium for small rural temples, and to bring temples of gramadevatas under the purview of Muzarai."
A220,P220,Temples and Pilgrim Centres:,"To provide a grant of up to Rs.20,000 to all Grama Devathe and Theru Habba Festivals celebrated at the village level."
A221,P221,Kalyana Karnataka,"To reserve Rs.5,000 Crores every year for the infrastructure development of Kalyana Karnataka."
A222,P222,Kalyana Karnataka,To establish a textile park at Bellary with an investment of rs. 5000 Cr.
A223,P223,Kalyana Karnataka,To provide special package for de-silting of Tungabhadra Dam
A224,P224,Kalyana Karnataka,To grant ®1 crore to every gram panchayat for taking up development projects
A225,P225,Kalyana Karnataka,To establish minimum 100 PUC and one Women's Degree College in 41 assembly constituencies in Kalyana Karnataka.
A226,P226,Kalyana Karnataka,To fill up of all vacancies including back log vacancies in Kalayana Karnataka Region within a year of forming the Government by Congress Party.
A227,P227,Kalyana Karnataka,"To establish of one Mother and Child Special Hospital, Trauma and Emergency Treatment centres in each of the 41 Assembly Constituencies."
A228,P228,Kalyana Karnataka,To build 2500 new classrooms and fill up all vacancies of teachers.
A229,P229,Kalyana Karnataka,To convert the existing Kalaburagi-siraguppa-Ballary High way into 6-lane
A230,P230,KITTURU KARNATAKA,To give a one-time infrastructure grant of Rs 1 Crore and monthly subsidy of Rs 1 lakh to all Kannada schools in the bordering region of Maharashtra
A231,P231,KITTURU KARNATAKA,To form 'Mahadayi Irrigation Development Corporation exclusively for the region.
A232,P232,KITTURU KARNATAKA,"To set up a 500-bed super-speciality hospitals in Karwar, Dharwad, Vijayapura and Bagalkot."
A233,P233,KITTURU KARNATAKA,To set up one 'pulses and dal procurement centre’ in every district.
A234,P234,KITTURU KARNATAKA,"To ensure the construction of 6 lane all weather roads connecting all the districts to the Karwar port passing through Vijaypura, Bagalkot, Gadag and Dharwad and to develop Karwara as the second Major Port."
A235,P235,Karavali/Malnad Karnataka,"To establish Brahmashri Narayana Guru Nigama and to with Rs.500 Crs. annualy and Rs. 2,500 Cr for five years"
A236,P236,Karavali/Malnad Karnataka,To construct “Amara Sullia Raithara Horata Bhavana” at sullia to commemorate the 1837 first freedom fight by farmers against the British by allotting land and grant of Rs.50 crores.
A237,P237,Karavali/Malnad Karnataka,Reserve Rs.100 crores to solve the problems of Yellow Leaf and other deceases affecting Arecanut and to improve marketing and research in this regard.
A238,P238,Karavali/Malnad Karnataka,To review Kasturi Rangan Report and to frame New Western Ghat Policy for Forest and Environmental protection.
A239,P239,Karavali/Malnad Karnataka,To develop a robust action plan to setup Beach Tourism in Mangalore Udupi and Karwar districts. Coastal Beach Tourism Authority.
A240,P240,Karavali/Malnad Karnataka,To make Mangaluru internationally competitive IT centre to increase employment opportunities and establish an IT Park.
A241,P241,Karavali/Malnad Karnataka,To undertake the following programmes for the overall development of fishermen community: . Insurance Cover . Interest free loan upto Rs. One lakh to all fisher-women . 50% subsidy to buy well equipped fishing boats. . Increasing the diesel quantity upto 500 litres per day. . Providing appropriate transportation from dock to Market.
A242,P242,Karavali/Malnad Karnataka,"To upgrade the NHs through Shiradi, Charmadi and Sampaje into all whether proof 6 lane NHs connecting Mangaluru to Bengaluru and make efforts to improve the Railway Connections."
A243,P243,Karavali/Malnad Karnataka,To develop Sasihitlu Sea Shore as International Surfing Centre.
A244,P244,Karavali/Malnad Karnataka,To provide a Permanent dredging Machine to Mangaluru Fisheries Port
A245,P245,Karavali/Malnad Karnataka,"To set up two Fish Processing Parks in each of the coastal districts (Uttara Kannada, Dakshina Kannada and Udupi) and to set up required number of cold storage units to store marine products."
A246,P246,Hale Mysuru,To construct new ring road to Mandya.
A247,P247,Hale Mysuru,To invest Rs.5000 crores for the overall development of Mysuru Karnataka.
A248,P248,Hale Mysuru,To rejuvenate Mysugar Factory and to plan and establish new sugar factories in Mandya
A249,P249,Hale Mysuru,To build international standard Dr. Raj Kumar Film City in Mysuru with Rs.500 Crore Budget.
A250,P250,Hale Mysuru,"To start an exclusive Sports University in Mysuru and make it as a World-Class sports hub. And, to build an International Sports Complex in Mysuru."
A251,P251,NAMMA BENGALURU,"To enact a comprehensive legislation exclusively for the management of BBMP bringing all service providers such as Water Supply and sewage, transport, housing, power and development authorities, under a single agency"
A252,P252,NAMMA BENGALURU,"To construct North South, South-east long elevated flyovers with necessary wings ease the traffic."
A253,P253,NAMMA BENGALURU,"To get all pending metro projects completed under Phase 2, Phase 2A, Phase 2B within one year of coming to power. To strive to get approval and completion of Phase 3 and Phase 4 in the next five years and to extend Metro upon Tumkuru, Vasanta Narasapura Industrial Hub."
A254,P254,NAMMA BENGALURU,To establish Mega Bengaluru Planning Committee.
A255,P255,NAMMA BENGALURU,Construction of tunnel roads in CBD area to decongest traffic on PPP Model
A256,P256,NAMMA BENGALURU,To take-up on priority suburban railway project and build proper footpaths
A257,P257,NAMMA BENGALURU,To bring out a new Policy to develop the residential and commercial infrastructure around the outer ring roads.
A258,P258,NAMMA BENGALURU,To rename slums as Workers' Residential Zones and effect proper Housing Projects and give ownership titles of houses and sites.
A259,P259,NAMMA BENGALURU,"To create a system for seamless integration of Namma Metro, Suburban Rail"
A260,P260,NAMMA BENGALURU,Projects and Public Transportation Systems named after Puttanna Chettty.
A261,P261,NAMMA BENGALURU,"To constitute a 'Maha Bengaluru Samsthan' involving urban governance experts, industrialists, economists, and environmentalists to help BBMP revive the lost glory of Bengaluru through its administration."
A262,P262,NAMMA BENGALURU,To add 5000 new electric buses to BMTC's fleet to reduce pollution and make BMTC more energy efficient.
A263,P263,NAMMA BENGALURU,To introduce e-rickshaws to improve first-mile and last-mile connectivity in the city of Bengaluru.
A264,P264,NAMMA BENGALURU,To install public charging/ battery swapping points at every metro station and bus stands to provide charging infrastructure.
A265,P265,NAMMA BENGALURU,To provide free bus passes to BBMP pourakarmikas.
A266,P266,NAMMA BENGALURU,To complete the peripheral ring road and outer ring road projects on a priority basis to ease traffic congestion in the city.
A267,P267,NAMMA BENGALURU,To approve the updated Master Plan 2042 for a sustainable and planned development of the Bengaluru city keeping in mind the needs ofall residents.
A268,P268,NAMMA BENGALURU,Implement Karnataka Apartment Ownership Act to ensure that Builders conveybthe whole property to Apartment owners including rights in Building and land underneath.
