promise_id,category,promise_text,sector,sub_sector,quantifiable,target_value,timeline_mentioned,target_year,commitment_type
P147,Women and Children - Naari Shakthi,To offer Rs.2000 Every month to each and every women head of the family GRUHA LAKSHMI project,Welfare,Women and Children - Naari Shakthi,Yes,Rs.2000,No,,Financial
P148,Women and Children - Naari Shakthi,"To support 5,000 women entrepreneurs every year for entrepreneurial development.",Economy,Entrepreneurship,Yes,5000,Yes,every year,Support
P149,Women and Children - Naari Shakthi,To increase allocation of funds to Stree Shakthi Sanghas.,Welfare,Women and Children - Naari Shakthi,No,,No,,Increase allocation of funds
P150,Women and Children - Naari Shakthi,"To nurture 5000 Stree Shakti micro-enterprises over 5 years and to encourage them to take up 21st century needs like food processing, catering, mobile canteens, solid waste management, parking management.",Economy,Micro-enterprises,Yes,5000,Yes,5 years,Nurture and Encourage
P151,Women and Children - Naari Shakthi,"To provide Rs.50 lakhs grant to the Grama Panchayaths which elect women as the Chairperson, over looking specific reservations",Welfare,Women and Children - Naari Shakthi,Yes,Rs.50 lakhs,No,,Grant
P152,Women and Children - Naari Shakthi,"To provide 50% subsidy on buying electric scooters to frontline health workers namely ANM, Anganwadi and ASHA workers.",Health,Women and Children - Naari Shakthi,Yes,50%,No,,Subsidy
P153,Religious Minorities,"The Congress Party is committed to the welfare of all citizens and groups, including minorities, as per the Constitution of India. Accordingly, the allocation of funds for the minority welfare — Muslim, Christian, Jain, Buddhists and others, would be increased to Rs. 10,000 Cr",Welfare,Religious Minorities,Yes,"Rs. 10,000 Cr",No,,Increase allocation of funds
P154,Kashmiri Pandits:,To allot Rs.15 crores to start Kashmiri Culture Centre Allotting one time grant of Rs.25 crore and annual grant of Rs. One crore from the Department of Kannada Culture,Welfare,Cultural,Yes,Rs. 40 crores,No,,Grant
P155,GENDER MINORITIES,Toestablish a Mangalamukhi Welfare Board by allotting Rs.200 crores annually.,Welfare,Gender Minorities,Yes,Rs.200 crores,Yes,,Establishment
P156,GENDER MINORITIES,To provide Self-employment grants for taking up small business to all Gender Minorities upto Rs.2 lakhs.,Economy,Small Business,Yes,Rs.2 lakhs,No,,Grant
P157,Pourakarmikas,"To regularise all 25,000 Pourakarmikas with all the relevant facilities.",Infrastructure,Waste Management,Yes,"25,000",No,,Regularisation
P158,Pourakarmikas,Recruitment of additional Pourakarmikas.,Infrastructure,Waste Management,Yes,additional Pourakarmikas,No,,Recruitment
P159,Pourakarmikas,To offer Hazardous pay and insurance cover of Rs. 10 Lakh to each,Welfare,Labor,Yes,Rs. 10 Lakh,No,,Benefit
P160,Drivers:,To set up Auto Drivers' Board and Taxi Drivers' Welfare Board funding with Rs. 50 Crs to each and encouragement for self-employment.,Transport,Drivers,Yes,Rs. 50 Crs,No,,Funding and Encouragement
P161,Street Vendors,"To develop dedicated hawker zones in all district HQs and to provide one-time financial assistance of Rs. 20,000 to street vendors to set up their shops in these zones. ",Infrastructure,Urban Development,Yes,"Rs. 20,000",No,,Financial Assistance
P162,Gig and Un-organised Workers,"To establish a Gig Workers' Welfare Board with allotment of Rs.3,000 Crs as seed money for revolving fund.",Welfare,Gig and Un-organised Workers,Yes,"Rs.3,000 Crs",No,,Establishment
P163,Senior Citizens:,"Tocreate Sharavana Kumara Senior citizens welfare fund - Rs.1,000 Crore.",Welfare,Senior Citizens,Yes,"Rs.1,000 Crore",No,,Fund Creation
P164,Senior Citizens:,To offer free Pilgrimage to one of the 15 holy places of Karnataka and one of the 10 holy places of India once in two years.,Welfare,Social Welfare,Yes,1 pilgrimage every 2 years,Yes,Not specified,Benefit
P165,Senior Citizens:,"To increase the one-time subsidy provided to senior citizens from Karnataka for pilgrimages to Kashi, Mathura and Kailash Mansarovar Yatra. ",Welfare,Senior Citizens,Yes,Increase one-time subsidy,No,,Increase
P166,Persons otherwise able,To provide Rs.3 lakhs interest free loan to take up self-employment to the diabled women.,Welfare,Social Welfare,Yes,Rs.3 lakhs,No,,Loan
P167,Persons otherwise able,"To create a Rs 50 Crore ""Vidhya Deepa Nidhi"" disabled youth scholarship fund to ensure access to higher education both in India and abroad.",Education,Scholarships,Yes,Rs 50 Crore,No,,Fund creation
P168,Persons otherwise able,To provide free bus pass and to one accompanying person.,Transport,Public Transportation,Yes,Free bus pass and one accompanying person,No,,Benefit
P169,Persons otherwise able,"To Set up Karnataka Institute of Speech and Hearing, similar to the All India Institute of Speech and Hearing in all revenue divisions of Karnataka. ",Education,Healthcare,No,,No,,Infrastructure Development
P170,Veteran Army personnel,"To establish ""Field Marshal General Kariappa Ex-servicemen Development Board with Rs.500 Crores revolving fund to provide financial assistance to ex- servicemen to upto Rs.10 lakhs @ 5% interest to start self- employment/entrepreneurship.",Welfare,Veteran Support,Yes,500 Crores,No,,Financial Assistance
P171,Veteran Army personnel,Topush forONE RANK ONE PENSION for Ex-Servicemen,Welfare,Veteran Benefits,Yes,ONE RANK ONE PENSION,No,,Policy
P172,Veteran Army personnel,"To make special scheme for providing land, house and site to ex-servicemen and to exempt from House Tax, Water Tax and upto Rs.2,000 Electricity Bill for their own residences.",Infrastructure,Housing,Yes,"Rs.2,000",No,,Welfare
P173,Journalists,Establishment ofa a Journalist Welfare Fund with seed money of Rs.500 Crores.,Welfare,Journalist Welfare,Yes,Rs.500 Crores,No,,Establishment
P174,Advocates,"To assist establishing Advocate Bhavans in Corporation, cities and District Headquarters.",Governance,Advocates,No,,No,,Assistance
P175,NRI Kannadigas,To Create a separate Ministry to take care of the affairs of NRI Kannadigas.,Governance,Administration,No,,No,,Policy
P176,NRI Kannadigas,To help in setting up industries and those permanently relocating by creating revolving fund of Rs.1000 Crs. ,Economy,Industry,Yes,Rs.1000 Crs.,No,,Financial
P177,"Youth, Employment and Sports",To maintain a database of youth who are unable to secure a job within 180 days of college graduation. To provide an 'Unemployment Allowance' of Rs. 3000 per month to all registered graduates and Rs.1500/- to Diploma holders - YUVANIDHI,Welfare,"Youth, Employment and Sports",Yes,"Rs. 3000 (monthly allowance for graduates), Rs. 1500 (monthly allowance for diploma holders)",Yes,Not specified,Financial
P178,"Youth, Employment and Sports",To establish Bharatha Ratna CNR Fund with 500 crores corpus for basic scientific research for youth.,Education,Research and Development,Yes,500 crores,No,,Establishment of a fund
P179,"Youth, Employment and Sports",To provide free bus passes and train tickets to the candidates taking up competitive examinations.,Transport,Public Transportation,Yes,Free bus passes and train tickets,No,,Benefit
P180,"Youth, Employment and Sports",To ensure 80% in jobs in Karnataka to local people in both Public and Private,Economy,Employment,Yes,80%,No,,Job Reservation
P181,"Youth, Employment and Sports",To Constitute a Youth Commission to facilitate the overall development of youth,Governance,"Youth, Employment and Sports",No,,No,,Establishment
P182,"Youth, Employment and Sports",To allot Rs.2000 crores per year for sports.,Infrastructure,"Youth, Employment and Sports",Yes,Rs.2000 crores,No,,Financial Allocation
P183,"Youth, Employment and Sports","To start an exclusive Sports University in Mysuru and make Karnataka a World-Class sports hub. And, to build an International Sports Complex in Mysuru exclusively for traditional sports.",Infrastructure,Education,No,,Yes,,Infrastructure Development
P184,"Youth, Employment and Sports","To identify 1,000 budding Sports talents every year from across the state and provide them financial assistance. ",Welfare,"Youth, Employment and Sports",Yes,"1,000",Yes,every year,Financial assistance
P185,"Language, Literature, Tradition and Culture","To develop Kuppalli, the birth place of Rastra Kavi Kuvempu a nature tourist center make special project of Rs. 100 Crs.",Infrastructure,Tourism,Yes,Rs. 100 Crs,No,,Development
P186,"Language, Literature, Tradition and Culture","To encourage and develop Kannada Language, literature, education and culture in 63 Taluks in Border areas and in 6 adjoining states where there are large number of Kannadigas, annual allotment of Rs.200 crores.",Education,Language and Literature,Yes,Rs.200 crores,No,,Annual allotment
P187,"Language, Literature, Tradition and Culture","To start ""Kuvempu Sahithya Puraskara Abhiyana"" to promote 500 young poets and authors in the state by giving them financial assistance of Rs 25,000 to each.",Welfare,"Language, Literature, Tradition and Culture",Yes,500,No,,Financial Assistance
P188,"Language, Literature, Tradition and Culture",To set up the Aluru Venkata Rao Fund of Rs 100 Crore to promote Kannada in the digital space.,Education,Language and Literature,Yes,100 Crore,No,,Financial
P189,"Language, Literature, Tradition and Culture",To release Rs.100 crores to establish- Basavapatha - the institution for Social Inclusion and Religious Ethics - in Kudalasangama.,Economy,Welfare,Yes,Rs.100 crores,No,,Financial
P190,"Language, Literature, Tradition and Culture",To build a state-of-the-art museum and theme park dedicated to Veera Madakari Nayaka in Chitradurga.,Infrastructure,Tourism,No,,No,,Infrastructure Development
P191,"Language, Literature, Tradition and Culture","To create a Rs 500 Crore ""Thayi Bhuvaneshwari Monuments Fund"" to ensure the proper maintenance of all ASI sites in Karnataka.",Infrastructure,Culture and Heritage,Yes,Rs 500 Crore,No,,Financial
P192,"Language, Literature, Tradition and Culture","To revive and develop Bhuvanagiri in Siddapur taluk as a tourist destination with aRs 10 Crore grant, as it is the only place in the state where a temple is dedicated to Kannada Mathe Bhuvaneshwari Devi.",Infrastructure,Tourism,Yes,10 Crore,No,,Grant
P193,"Language, Literature, Tradition and Culture",To bring out all Mahakavyas of Kannada Literture in digital form in the Gamaka format.,Education,"Language, Literature, Tradition and Culture",No,,No,,Promise
P194,"Language, Literature, Tradition and Culture",To make special projects to study of Samskrith Literature - Adi Shankaracharya Adhyayana Yojane,Education,"Language, Literature, Tradition and Culture",No,,No,,Special projects
P195,"Language, Literature, Tradition and Culture","To aid and strengthen minority languages like Pali, Prakrit, Tulu, Konkani, Kodava, Byari, and Urdu.",Education,Language and Literature,No,,No,,Support
P196,"Language, Literature, Tradition and Culture",To establish Yakshagana Pradhikara with Rs. 25 Crs annual grants.,Governance,"Language, Literature, Tradition and Culture",Yes,Rs. 25 Crs,No,,Establishment
P197,"Language, Literature, Tradition and Culture","To evolve a scheme to provide economic security to the artists of Yakshagana, Kambala, drama, music Dhaivaradhana work and other forms of arts.",Welfare,Arts and Culture,No,,No,,Policy
P198,"Language, Literature, Tradition and Culture",To create a freedom memorial and theme park at Belgavi to commemorate the 1924 Congress Session- [the session presided over by Mahatma Gandhil.,Infrastructure,Tourism,No,,No,,Other
P199,"Language, Literature, Tradition and Culture",To Set up Festival Authority of Karnataka.,Governance,"Language, Literature, Tradition and Culture",No,,No,,Establishment
P200,"Language, Literature, Tradition and Culture","To set up the Shivaram Karantha Literature Fund of Rs. 100 Crore to encourage Kannada writing, both poetry and prose, among students of classes 8-12.",Education,Language and Literature,Yes,Rs. 100 Crore,No,,Financial
P201,"Language, Literature, Tradition and Culture","To give a cash prize of Rs 10,000 to students who score 100% in Kannada in their 10th exam in the name of Rashtra Kavi Manjeshwara Govinda Pai.",Education,"Language, Literature, Tradition and Culture",Yes,"Rs 10,000",No,,Cash Prize
P202,"Language, Literature, Tradition and Culture","To publish a book on Karnataka's history and it's culture called ""Hemmeya Beedu Namma Karunadu"" and make it a non-test subject in all UG courses.",Education,"Language, Literature, Tradition and Culture",No,,No,,Publish a book and make it a non-test subject
P203,"Language, Literature, Tradition and Culture","To provide Rupees one lakh annual grant to people pursuing PhDs in Kannada literature and a Rs. 25,000 annual grant to people pursuing PG in Kannada literature under ""Da Ra Bendre Kannada Bhasha Adhyayana Puraskara Nidhi""",Education,"Language, Literature, Tradition and Culture",Yes,"Rupees one lakh, Rs. 25,000",No,,Grant
P204,"Language, Literature, Tradition and Culture","To double the amount of money awarded to poets and authors under the Rajyotsava Award, Pampa Award, Kannada Sahitya Academy awards etc. limiting the number of awardees.",Welfare,"Language, Literature, Tradition and Culture",Yes,double the amount of money,No,,Increase
P205,"Language, Literature, Tradition and Culture","To start ""Nrupatunga Kannada Sahithya Puraskara Abhiyana"" to promote 500 young poets and authors in the state by giving them financial assistance of Rs 25,000 to each.",Education,Literature and Culture,Yes,500,No,,Financial Assistance
P206,"Language, Literature, Tradition and Culture","To establish in various universities, Kanakadasa Dasa Sahithya Adhyayana Peetha, Sarvagna Tripadi Sahithya Adhyayana Peeta, Basavanna Vachana Sahithya, Adhyayana Peeta, D V Gundappa Navodhaya sahithya Adhyayana Peeta, Pampa Hale Kannada sahithya Adhayayana Peeta, Kumaravyasa Nadukannada Sahithya Adhyayana Peeta, by providing necessary funds.",Education,"Language, Literature, Tradition and Culture",No,,No,,Establishment
P207,"Language, Literature, Tradition and Culture",To increase funding to Hampi Kannada University to encourage the holistic research on Kannada literature.,Education,Higher Education,No,,No,,Increase funding
P208,"Language, Literature, Tradition and Culture","To create a dedicated fund of Rs 100 Crore ""Shasana samshodhana mattu samrakshana Nidhi"" - for the restoration, renovation, and promotion of research on inscriptions.",Governance,"Language, Literature, Tradition and Culture",Yes,Rs 100 Crore,No,,Financial
P209,"Language, Literature, Tradition and Culture",To set up Rs 500 Crore revolving fund - Subbiah Naidu Kalabhivruddhi Nidhi - for the revival of ethnic art forms and folk sports.,Economy,Culture and Arts,Yes,Rs 500 Crore,No,,Financial
P210,"Language, Literature, Tradition and Culture","To organize a Mega cultural festival called ""Karnataka Arunodaya Samavesha"" in every assembly constituency to promote local folk arts and music.",Governance,Culture and Arts,No,,No,,Event
P211,"Language, Literature, Tradition and Culture",To set up Rs 30 Crore “C Ashwath Music Fellowship Fund” to honour young lyricists and singers.,Welfare,"Language, Literature, Tradition and Culture",Yes,Rs 30 Crore,No,,Financial
P212,"Language, Literature, Tradition and Culture","To provide Rs 10,000 honorarium per month to all senior folk artists and performing artists under ""Gangu Bai Hanagal”",Welfare,"Language, Literature, Tradition and Culture",Yes,"Rs 10,000",No,,Financial
P213,"Language, Literature, Tradition and Culture",To take suitable actions to get the Tulu language declared as Adhikritha Bhashe and to upgrade Tulu Sahitya Academy as Tulu Bhasha Abhivriddhi Pradhikara.,Governance,"Language, Literature, Tradition and Culture",No,,No,,Policy/Action
P214,"Language, Literature, Tradition and Culture",To provide Rs. 1 crore grant for the development of the unique Kodava Culture.,Welfare,Culture and Tradition,Yes,Rs. 1 crore,No,,Grant
P215,Temples and Pilgrim Centres:,"Karnataka has around 1,80,000 temples, of which only 35,500 temples come under the Muzrai department. These temples are neglected by the Muzarai Department. Separate special Pooja Nidhi to be established.",Governance,Temples and Pilgrim Centres,No,,No,,Establishment
P216,Temples and Pilgrim Centres:,To increase monthly grants to Muzarai temples.,Welfare,Temples and Pilgrim Centres,Yes,increase monthly grants,No,,Increase
P217,Temples and Pilgrim Centres:,"To set up a “Dharmika Nidhi,” fund of Rs 1,000Crore, for the restoration and renovation of minor temples and Mathas across the state.",Infrastructure,Temples and Pilgrim Centres,Yes,"Rs 1,000 Crore",No,,Financial
P218,Temples and Pilgrim Centres:,"To provide Rs 5,000 honorarium per month to all senior priests [above 60 years of age] of temples, mosques, churches, and other religious institutions after they reach the age of sixty, “Archaka Gowrava Nidhi Scheme.",Welfare,Social Security,Yes,5000,No,,Financial
P219,Temples and Pilgrim Centres:,"To increase the allowances to Rs.5,000/- per month for meeting the expenditure on Poojadravya and honorarium for small rural temples, and to bring temples of gramadevatas under the purview of Muzarai.",Welfare,Temples and Pilgrim Centres,Yes,"Rs.5,000/- per month",No,,Increase allowances
P220,Temples and Pilgrim Centres:,"To provide a grant of up to Rs.20,000 to all Grama Devathe and Theru Habba Festivals celebrated at the village level.",Welfare,Cultural and Social,Yes,20000,No,,Grant
P221,Kalyana Karnataka,"To reserve Rs.5,000 Crores every year for the infrastructure development of Kalyana Karnataka.",Infrastructure,Infrastructure Development,Yes,5000 Crores,Yes,Every year,Reservation
P222,Kalyana Karnataka,To establish a textile park at Bellary with an investment of rs. 5000 Cr.,Infrastructure,Textile,Yes,5000 Cr,No,,Investment
P223,Kalyana Karnataka,To provide special package for de-silting of Tungabhadra Dam,Infrastructure,Water Management,No,,No,,Policy
P224,Kalyana Karnataka,To grant ®1 crore to every gram panchayat for taking up development projects,Infrastructure,Development Projects,Yes,1 crore,No,,Grant
P225,Kalyana Karnataka,To establish minimum 100 PUC and one Women's Degree College in 41 assembly constituencies in Kalyana Karnataka.,Education,Higher Education,Yes,100,Yes,Not mentioned,Establishment
P226,Kalyana Karnataka,To fill up of all vacancies including back log vacancies in Kalayana Karnataka Region within a year of forming the Government by Congress Party.,Governance,Public Administration,Yes,fill up of all vacancies including back log vacancies,Yes,within a year of forming the Government,Policy
P227,Kalyana Karnataka,"To establish of one Mother and Child Special Hospital, Trauma and Emergency Treatment centres in each of the 41 Assembly Constituencies.",Health,Healthcare Infrastructure,Yes,"1 Mother and Child Special Hospital, 1 Trauma and Emergency Treatment centre per Assembly Constituency",No,,Infrastructure Development
P228,Kalyana Karnataka,To build 2500 new classrooms and fill up all vacancies of teachers.,Education,Infrastructure,Yes,2500,No,,Infrastructure Development
P229,Kalyana Karnataka,To convert the existing Kalaburagi-siraguppa-Ballary High way into 6-lane,Infrastructure,Transport,Yes,6-lane,No,,Infrastructure Development
P230,KITTURU KARNATAKA,To give a one-time infrastructure grant of Rs 1 Crore and monthly subsidy of Rs 1 lakh to all Kannada schools in the bordering region of Maharashtra,Education,Infrastructure and Funding,Yes,Rs 1 Crore + Rs 1 lakh,No,,Grant and Subsidy
P231,KITTURU KARNATAKA,To form 'Mahadayi Irrigation Development Corporation exclusively for the region.,Infrastructure,Irrigation,No,,No,,Formation of a Corporation
P232,KITTURU KARNATAKA,"To set up a 500-bed super-speciality hospitals in Karwar, Dharwad, Vijayapura and Bagalkot.",Health,Healthcare Infrastructure,Yes,500-bed,No,,Infrastructure Development
P233,KITTURU KARNATAKA,To set up one 'pulses and dal procurement centre’ in every district.,Agriculture,Pulses and Dal Procurement,Yes,1 centre per district,No,,Infrastructure Development
P234,KITTURU KARNATAKA,"To ensure the construction of 6 lane all weather roads connecting all the districts to the Karwar port passing through Vijaypura, Bagalkot, Gadag and Dharwad and to develop Karwara as the second Major Port.",Infrastructure,Transport,Yes,6 lane all weather roads,Yes,,Development
P235,Karavali/Malnad Karnataka,"To establish Brahmashri Narayana Guru Nigama and to with Rs.500 Crs. annualy and Rs. 2,500 Cr for five years",Economy,Finance,Yes,"500 Crs. annually, 2,500 Crs. for five years",Yes,Not specified,Financial
P236,Karavali/Malnad Karnataka,To construct “Amara Sullia Raithara Horata Bhavana” at sullia to commemorate the 1837 first freedom fight by farmers against the British by allotting land and grant of Rs.50 crores.,Infrastructure,Construction,Yes,Rs.50 crores,No,,Grant
P237,Karavali/Malnad Karnataka,Reserve Rs.100 crores to solve the problems of Yellow Leaf and other deceases affecting Arecanut and to improve marketing and research in this regard.,Agriculture,Crop Improvement and Marketing,Yes,Rs.100 crores,No,,Financial Allocation
P238,Karavali/Malnad Karnataka,To review Kasturi Rangan Report and to frame New Western Ghat Policy for Forest and Environmental protection.,Governance,Environmental Protection,No,,Yes,,Policy
P239,Karavali/Malnad Karnataka,To develop a robust action plan to setup Beach Tourism in Mangalore Udupi and Karwar districts. Coastal Beach Tourism Authority.,Infrastructure,Tourism,No,,No,,Development
P240,Karavali/Malnad Karnataka,To make Mangaluru internationally competitive IT centre to increase employment opportunities and establish an IT Park.,Infrastructure,IT and Technology,No,,No,,Development
P241,Karavali/Malnad Karnataka,To undertake the following programmes for the overall development of fishermen community: . Insurance Cover . Interest free loan upto Rs. One lakh to all fisher-women . 50% subsidy to buy well equipped fishing boats. . Increasing the diesel quantity upto 500 litres per day. . Providing appropriate transportation from dock to Market.,Economy,Fisheries,Yes,Rs. One lakh,No,,Welfare
P242,Karavali/Malnad Karnataka,"To upgrade the NHs through Shiradi, Charmadi and Sampaje into all whether proof 6 lane NHs connecting Mangaluru to Bengaluru and make efforts to improve the Railway Connections.",Infrastructure,Transport,Yes,6 lane NHs,Yes,,Upgrade
P243,Karavali/Malnad Karnataka,To develop Sasihitlu Sea Shore as International Surfing Centre.,Infrastructure,Tourism/Recreation,No,,No,,Development
P244,Karavali/Malnad Karnataka,To provide a Permanent dredging Machine to Mangaluru Fisheries Port,Infrastructure,Transport,Yes,Permanent dredging Machine,No,,Provide
P245,Karavali/Malnad Karnataka,"To set up two Fish Processing Parks in each of the coastal districts (Uttara Kannada, Dakshina Kannada and Udupi) and to set up required number of cold storage units to store marine products.",Infrastructure,Industrial Development,Yes,2 Fish Processing Parks in each of the coastal districts,No,,Infrastructure Development
P246,Hale Mysuru,To construct new ring road to Mandya.,Infrastructure,Transport,No,,No,,Construction
P247,Hale Mysuru,To invest Rs.5000 crores for the overall development of Mysuru Karnataka.,Infrastructure,Development,Yes,5000 crores,No,,Investment
P248,Hale Mysuru,To rejuvenate Mysugar Factory and to plan and establish new sugar factories in Mandya,Economy,Manufacturing,No,,No,,Infrastructure Development
P249,Hale Mysuru,To build international standard Dr. Raj Kumar Film City in Mysuru with Rs.500 Crore Budget.,Infrastructure,Tourism/Entertainment,Yes,Rs.500 Crore,No,,Capital Expenditure
P250,Hale Mysuru,"To start an exclusive Sports University in Mysuru and make it as a World-Class sports hub. And, to build an International Sports Complex in Mysuru.",Infrastructure,Education,No,,No,,Policy
P251,NAMMA BENGALURU,"To enact a comprehensive legislation exclusively for the management of BBMP bringing all service providers such as Water Supply and sewage, transport, housing, power and development authorities, under a single agency",Infrastructure,Urban Planning,No,,No,,Legislation
P252,NAMMA BENGALURU,"To construct North South, South-east long elevated flyovers with necessary wings ease the traffic.",Infrastructure,Transport,Yes,"construction of North South, South-east long elevated flyovers with necessary wings",No,,Promise
P253,NAMMA BENGALURU,"To get all pending metro projects completed under Phase 2, Phase 2A, Phase 2B within one year of coming to power. To strive to get approval and completion of Phase 3 and Phase 4 in the next five years and to extend Metro upon Tumkuru, Vasanta Narasapura Industrial Hub. ",Infrastructure,Transport,Yes,all pending metro projects,Yes,one year,completion
P254,NAMMA BENGALURU,To establish Mega Bengaluru Planning Committee.,Infrastructure,Urban Planning,No,,No,,Establishment
P255,NAMMA BENGALURU,Construction of tunnel roads in CBD area to decongest traffic on PPP Model,Infrastructure,Transport,No,,No,,PPP Model
P256,NAMMA BENGALURU,To take-up on priority suburban railway project and build proper footpaths,Infrastructure,Transport,No,,No,,Promise
P257,NAMMA BENGALURU,To bring out a new Policy to develop the residential and commercial infrastructure around the outer ring roads.,Infrastructure,Residential and Commercial Infrastructure,No,,No,,Policy
P258,NAMMA BENGALURU,To rename slums as Workers' Residential Zones and effect proper Housing Projects and give ownership titles of houses and sites.,Infrastructure,Housing,Yes,"rename slums as Workers' Residential Zones, effect proper Housing Projects, give ownership titles of houses and sites",No,,Policy
P259,NAMMA BENGALURU,"To create a system for seamless integration of Namma Metro, Suburban Rail",Infrastructure,Transport,Yes,seamless integration,No,,System creation
P260,NAMMA BENGALURU,Projects and Public Transportation Systems named after Puttanna Chettty.,Infrastructure,Transport,No,,No,,Promise
P261,NAMMA BENGALURU,"To constitute a 'Maha Bengaluru Samsthan' involving urban governance experts, industrialists, economists, and environmentalists to help BBMP revive the lost glory of Bengaluru through its administration.",Governance,Urban Governance,No,,No,,Policy/Reform
P262,NAMMA BENGALURU,To add 5000 new electric buses to BMTC's fleet to reduce pollution and make BMTC more energy efficient.,Transport,Public Transportation,Yes,5000,No,,Infrastructure Development
P263,NAMMA BENGALURU,To introduce e-rickshaws to improve first-mile and last-mile connectivity in the city of Bengaluru.,Infrastructure,Transport,No,,No,,Policy
P264,NAMMA BENGALURU,To install public charging/ battery swapping points at every metro station and bus stands to provide charging infrastructure.,Infrastructure,Transport,Yes,every metro station and bus stands,No,,Promise
P265,NAMMA BENGALURU,To provide free bus passes to BBMP pourakarmikas.,Infrastructure,Transport,Yes,free bus passes,No,,Welfare
P266,NAMMA BENGALURU,To complete the peripheral ring road and outer ring road projects on a priority basis to ease traffic congestion in the city.,Infrastructure,Transport,Yes,complete peripheral ring road and outer ring road projects,Yes,,Priority basis
P267,NAMMA BENGALURU,To approve the updated Master Plan 2042 for a sustainable and planned development of the Bengaluru city keeping in mind the needs ofall residents.,Infrastructure,Urban Planning,No,,Yes,2042,Policy/Regulation
P268,NAMMA BENGALURU,Implement Karnataka Apartment Ownership Act to ensure that Builders conveybthe whole property to Apartment owners including rights in Building and land underneath.,Infrastructure,Housing,No,,No,,Policy/Regulation
