promise_id,promise_text,verdict,confidence,p_completed,p_in_progress,p_not_done
P195,"To aid and strengthen minority languages like Pali, Prakrit, Tulu, Konkani, Kodava, Byari, and Urdu.",Uncertain,0.5,0.249,0.502,0.249
P198,To create a freedom memorial and theme park at Belgavi to commemorate the 1924 Congress Session- [the session presided over by Mahatma Gandhil.,In Progress,0.67,0.165,0.67,0.165
P203,"To provide Rupees one lakh annual grant to people pursuing PhDs in Kannada literature and a Rs. 25,000 annual grant to people pursuing PG in Kannada literature under ""Da Ra Bendre Kannada Bhasha Adhyayana Puraskara Nidhi""",In Progress,0.0,0.0,1.0,0.0
P199,To Set up Festival Authority of Karnataka.,Uncertain,0.42,0.422,0.422,0.155
P201,"To give a cash prize of Rs 10,000 to students who score 100% in Kannada in their 10th exam in the name of Rashtra Kavi Manjeshwara Govinda Pai.",In Progress,0.0,0.0,1.0,0.0
P200,"To set up the Shivaram Karantha Literature Fund of Rs. 100 Crore to encourage Kannada writing, both poetry and prose, among students of classes 8-12.",In Progress,0.0,0.0,1.0,0.0
P204,"To double the amount of money awarded to poets and authors under the Rajyotsava Award, Pampa Award, Kannada Sahitya Academy awards etc. limiting the number of awardees.",In Progress,0.0,0.0,1.0,0.0
P202,"To publish a book on Karnataka's history and it's culture called ""Hemmeya Beedu Namma Karunadu"" and make it a non-test subject in all UG courses.",In Progress,0.0,0.0,1.0,0.0
P206,"To establish in various universities, Kanakadasa Dasa Sahithya Adhyayana Peetha, Sarvagna Tripadi Sahithya Adhyayana Peeta, Basavanna Vachana Sahithya, Adhyayana Peeta, D V Gundappa Navodhaya sahithya Adhyayana Peeta, Pampa Hale Kannada sahithya Adhayayana Peeta, Kumaravyasa Nadukannada Sahithya Adhyayana Peeta, by providing necessary funds.",In Progress,0.0,0.0,1.0,0.0
P205,"To start ""Nrupatunga Kannada Sahithya Puraskara Abhiyana"" to promote 500 young poets and authors in the state by giving them financial assistance of Rs 25,000 to each.",In Progress,0.0,0.0,1.0,0.0
P211,To set up Rs 30 Crore “C Ashwath Music Fellowship Fund” to honour young lyricists and singers.,In Progress,0.0,0.0,1.0,0.0
P207,To increase funding to Hampi Kannada University to encourage the holistic research on Kannada literature.,In Progress,0.0,0.0,1.0,0.0
P212,"To provide Rs 10,000 honorarium per month to all senior folk artists and performing artists under ""Gangu Bai Hanagal”",In Progress,0.0,0.0,1.0,0.0
P213,To take suitable actions to get the Tulu language declared as Adhikritha Bhashe and to upgrade Tulu Sahitya Academy as Tulu Bhasha Abhivriddhi Pradhikara.,In Progress,0.0,0.0,1.0,0.0
P208,"To create a dedicated fund of Rs 100 Crore ""Shasana samshodhana mattu samrakshana Nidhi"" - for the restoration, renovation, and promotion of research on inscriptions.",In Progress,0.0,0.0,1.0,0.0
P216,To increase monthly grants to Muzarai temples.,In Progress,0.59,0.359,0.592,0.049
P209,To set up Rs 500 Crore revolving fund - Subbiah Naidu Kalabhivruddhi Nidhi - for the revival of ethnic art forms and folk sports.,In Progress,0.0,0.0,1.0,0.0
P214,To provide Rs. 1 crore grant for the development of the unique Kodava Culture.,Completed,0.65,0.649,0.264,0.088
P215,"Karnataka has around 1,80,000 temples, of which only 35,500 temples come under the Muzrai department. These temples are neglected by the Muzarai Department. Separate special Pooja Nidhi to be established.",In Progress,0.0,0.0,1.0,0.0
P220,"To provide a grant of up to Rs.20,000 to all Grama Devathe and Theru Habba Festivals celebrated at the village level.",In Progress,0.0,0.0,1.0,0.0
P217,"To set up a “Dharmika Nidhi,” fund of Rs 1,000Crore, for the restoration and renovation of minor temples and Mathas across the state.",In Progress,0.0,0.0,1.0,0.0
P210,"To organize a Mega cultural festival called ""Karnataka Arunodaya Samavesha"" in every assembly constituency to promote local folk arts and music.",In Progress,0.0,0.0,1.0,0.0
P218,"To provide Rs 5,000 honorarium per month to all senior priests [above 60 years of age] of temples, mosques, churches, and other religious institutions after they reach the age of sixty, “Archaka Gowrava Nidhi Scheme.",In Progress,0.0,0.0,1.0,0.0
P223,To provide special package for de-silting of Tungabhadra Dam,Not Done,0.71,0.035,0.259,0.705
P219,"To increase the allowances to Rs.5,000/- per month for meeting the expenditure on Poojadravya and honorarium for small rural temples, and to bring temples of gramadevatas under the purview of Muzarai.",In Progress,0.0,0.0,1.0,0.0
P221,"To reserve Rs.5,000 Crores every year for the infrastructure development of Kalyana Karnataka.",Completed,0.71,0.705,0.259,0.035
P222,To establish a textile park at Bellary with an investment of rs. 5000 Cr.,In Progress,0.73,0.199,0.728,0.073
P225,To establish minimum 100 PUC and one Women's Degree College in 41 assembly constituencies in Kalyana Karnataka.,In Progress,0.0,0.0,1.0,0.0
P227,"To establish of one Mother and Child Special Hospital, Trauma and Emergency Treatment centres in each of the 41 Assembly Constituencies.",In Progress,0.0,0.0,1.0,0.0
P224,To grant ®1 crore to every gram panchayat for taking up development projects,In Progress,0.59,0.049,0.592,0.359
P229,To convert the existing Kalaburagi-siraguppa-Ballary High way into 6-lane,In Progress,0.0,0.0,1.0,0.0
P232,"To set up a 500-bed super-speciality hospitals in Karwar, Dharwad, Vijayapura and Bagalkot.",In Progress,0.0,0.0,1.0,0.0
P230,To give a one-time infrastructure grant of Rs 1 Crore and monthly subsidy of Rs 1 lakh to all Kannada schools in the bordering region of Maharashtra,In Progress,0.0,0.0,1.0,0.0
P228,To build 2500 new classrooms and fill up all vacancies of teachers.,In Progress,0.94,0.028,0.943,0.028
P226,To fill up of all vacancies including back log vacancies in Kalayana Karnataka Region within a year of forming the Government by Congress Party.,In Progress,0.94,0.028,0.943,0.028
P235,"To establish Brahmashri Narayana Guru Nigama and to with Rs.500 Crs. annualy and Rs. 2,500 Cr for five years",In Progress,0.0,0.0,1.0,0.0
P231,To form 'Mahadayi Irrigation Development Corporation exclusively for the region.,Uncertain,0.5,0.249,0.502,0.249
P234,"To ensure the construction of 6 lane all weather roads connecting all the districts to the Karwar port passing through Vijaypura, Bagalkot, Gadag and Dharwad and to develop Karwara as the second Major Port.",In Progress,0.0,0.0,1.0,0.0
P236,To construct “Amara Sullia Raithara Horata Bhavana” at sullia to commemorate the 1837 first freedom fight by farmers against the British by allotting land and grant of Rs.50 crores.,In Progress,0.0,0.0,1.0,0.0
P233,To set up one 'pulses and dal procurement centre’ in every district.,In Progress,0.69,0.154,0.691,0.154
P237,Reserve Rs.100 crores to solve the problems of Yellow Leaf and other deceases affecting Arecanut and to improve marketing and research in this regard.,In Progress,0.0,0.0,1.0,0.0
P239,To develop a robust action plan to setup Beach Tourism in Mangalore Udupi and Karwar districts. Coastal Beach Tourism Authority.,In Progress,0.0,0.0,1.0,0.0
P238,To review Kasturi Rangan Report and to frame New Western Ghat Policy for Forest and Environmental protection.,In Progress,0.69,0.154,0.691,0.154
P241,To undertake the following programmes for the overall development of fishermen community: . Insurance Cover . Interest free loan upto Rs. One lakh to all fisher-women . 50% subsidy to buy well equipped fishing boats. . Increasing the diesel quantity upto 500 litres per day. . Providing appropriate transportation from dock to Market.,In Progress,0.0,0.0,1.0,0.0
P243,To develop Sasihitlu Sea Shore as International Surfing Centre.,In Progress,0.0,0.0,1.0,0.0
P245,"To set up two Fish Processing Parks in each of the coastal districts (Uttara Kannada, Dakshina Kannada and Udupi) and to set up required number of cold storage units to store marine products.",Uncertain,0.5,0.249,0.502,0.249
P242,"To upgrade the NHs through Shiradi, Charmadi and Sampaje into all whether proof 6 lane NHs connecting Mangaluru to Bengaluru and make efforts to improve the Railway Connections.",In Progress,0.0,0.0,1.0,0.0
P240,To make Mangaluru internationally competitive IT centre to increase employment opportunities and establish an IT Park.,In Progress,0.94,0.028,0.943,0.028
P249,To build international standard Dr. Raj Kumar Film City in Mysuru with Rs.500 Crore Budget.,In Progress,0.0,0.0,1.0,0.0
P244,To provide a Permanent dredging Machine to Mangaluru Fisheries Port,Uncertain,0.5,0.249,0.502,0.249
P246,To construct new ring road to Mandya.,In Progress,0.59,0.049,0.592,0.359
P248,To rejuvenate Mysugar Factory and to plan and establish new sugar factories in Mandya,Uncertain,0.51,0.512,0.419,0.069
P252,"To construct North South, South-east long elevated flyovers with necessary wings ease the traffic.",Uncertain,0.5,0.249,0.502,0.249
P251,"To enact a comprehensive legislation exclusively for the management of BBMP bringing all service providers such as Water Supply and sewage, transport, housing, power and development authorities, under a single agency",In Progress,0.57,0.115,0.571,0.313
P247,To invest Rs.5000 crores for the overall development of Mysuru Karnataka.,In Progress,0.94,0.028,0.943,0.028
P250,"To start an exclusive Sports University in Mysuru and make it as a World-Class sports hub. And, to build an International Sports Complex in Mysuru.",In Progress,0.94,0.028,0.943,0.028
P256,To take-up on priority suburban railway project and build proper footpaths,In Progress,0.0,0.0,1.0,0.0
P258,To rename slums as Workers' Residential Zones and effect proper Housing Projects and give ownership titles of houses and sites.,In Progress,0.0,0.0,1.0,0.0
P253,"To get all pending metro projects completed under Phase 2, Phase 2A, Phase 2B within one year of coming to power. To strive to get approval and completion of Phase 3 and Phase 4 in the next five years and to extend Metro upon Tumkuru, Vasanta Narasapura Industrial Hub. ",In Progress,0.94,0.028,0.943,0.028
P255,Construction of tunnel roads in CBD area to decongest traffic on PPP Model,Uncertain,0.5,0.249,0.502,0.249
P254,To establish Mega Bengaluru Planning Committee.,In Progress,0.69,0.154,0.691,0.154
P262,To add 5000 new electric buses to BMTC's fleet to reduce pollution and make BMTC more energy efficient.,In Progress,0.0,0.0,1.0,0.0
P257,To bring out a new Policy to develop the residential and commercial infrastructure around the outer ring roads.,In Progress,0.84,0.114,0.844,0.042
P259,"To create a system for seamless integration of Namma Metro, Suburban Rail",In Progress,0.69,0.154,0.691,0.154
P260,Projects and Public Transportation Systems named after Puttanna Chettty.,Uncertain,0.44,0.162,0.398,0.44
P263,To introduce e-rickshaws to improve first-mile and last-mile connectivity in the city of Bengaluru.,In Progress,0.84,0.114,0.844,0.042
P261,"To constitute a 'Maha Bengaluru Samsthan' involving urban governance experts, industrialists, economists, and environmentalists to help BBMP revive the lost glory of Bengaluru through its administration.",Uncertain,0.5,0.249,0.502,0.249
P267,To approve the updated Master Plan 2042 for a sustainable and planned development of the Bengaluru city keeping in mind the needs ofall residents.,In Progress,0.0,0.0,1.0,0.0
P268,Implement Karnataka Apartment Ownership Act to ensure that Builders conveybthe whole property to Apartment owners including rights in Building and land underneath.,In Progress,0.0,0.0,1.0,0.0
P264,To install public charging/ battery swapping points at every metro station and bus stands to provide charging infrastructure.,In Progress,0.94,0.028,0.943,0.028
P265,To provide free bus passes to BBMP pourakarmikas.,In Progress,0.84,0.042,0.844,0.114
P266,To complete the peripheral ring road and outer ring road projects on a priority basis to ease traffic congestion in the city.,In Progress,0.72,0.263,0.715,0.022
