promise_id,promise_text,category,prs_evidences_acts,prs_evidences_bills
P69,100% of the Mahadayi water allocated to Karnataka will be utilised,IRRIGATION - JEEVAJALA,"['Establish a mechanism to regulate and supervise the manufacture of animal feed in Karnataka', 'Amend Karnataka Civil Engineers Act, 1946', 'Establish Karnataka Professional Civil Engineers Council', ""Empower the Government of Karnataka to appoint a date for the Act's commencement"", 'Establish Karnataka Motor Transport and Other Allied Workers Social Security and Welfare Board']","['Introduce 5% additional cess on transport vehicles for the Karnataka Motor Transport and Other Allied Workers Social Security and Welfare Fund', 'Allow other means of resource mobilization for Karnataka State Road Safety Fund', 'Administer Karnataka State Road Safety Fund through Treasury or Nationalized Bank', 'Establish the Karnataka Devadasi (Prevention, Prohibition, Relief, and Rehabilitation) Act, 2025', 'Make the Karnataka (Mineral Rights and Mineral Bearing Land) Tax Act, 2024 applicable to all minerals specified in Schedule-I and II']"
P70,Rs 500 crore will be allocated in the first cabinet meeting,IRRIGATION - JEEVAJALA,"['Establish the Fund of the Authority', 'Provide for financial allocation in the State Plan to the Board', 'Specify the Fund of the Authority', 'Establish the Finance Committee and its powers', 'Create a fund for the development of the area']","['Increase the threshold for procurement of goods and services from Rs.1.00 crore to Rs.2.00 crores', 'Mandate 17.15% of government construction works under Rs. 1 crore to be tendered among Scheduled Castes', 'Mandate 15% of government construction works under Rs. 1 crore to be tendered among backward castes (Category II(A))', 'Mandate 6.95% of government construction works under Rs. 1 crore to be tendered among Scheduled Tribes', 'Mandate 4% of government construction works under Rs. 1 crore to be tendered among backward castes']"
P71,All the components of Mahadayi river diversion projects shall be completed in the next 5 years with a total outlay of Rs 3000 Cr,IRRIGATION - JEEVAJALA,"['Empower the Board to prepare a comprehensive plan for Karavali Area development', 'Establish a fund for the development of the Kshetra', 'Establish the Chandraguthi Shree Renukamba Kshetra Development Authority', 'Establish the Karavali Development Board for overall development of Karavali area', 'Establish Shree Chamundeshwari Kshetra Development Authority']","['Mandate 6.95% of government construction works under Rs. 1 crore to be tendered among Scheduled Tribes', 'Introduce charges for commercial, industrial, mining, and infrastructure projects extracting groundwater', 'Mandate 17.15% of government construction works under Rs. 1 crore to be tendered among Scheduled Castes', 'Streamline the process for diverting agricultural land to other purposes', 'Mandate 4% of government construction works under Rs. 1 crore to be tendered among backward castes']"
P72,"Priority will be given to drinking water, agriculture, and then to electricity generation",IRRIGATION - JEEVAJALA,"['Create a fund for the development of the area', 'Specify the areas to be developed by the authority', 'Provide for financial allocation in the State Plan to the Board', 'Establish the Board of Governors and its powers', 'Establish a Board of Governors and its powers']","['Update the Central Electricity Authority (Measures relating to Safety and Electric Supply) Regulations reference from 2010 to 2023', 'Comply with modifications specified in the Central Electricity Authority (Measures relating to Safety and Electric Supply) Regulations, 2023', 'Insert priority for filling rural vacancies', 'Mandate priority for rural area vacancies in compulsory service', 'Exempt land for renewable energy projects from conversion requirements']"
P73,Congress will ensure responsible and secure rehabilitation of project affected families,IRRIGATION - JEEVAJALA,"['Constitute an Implementation Committee to oversee development projects', 'Create a fund for welfare and rehabilitation of motor transport and allied workers', 'Allow the State Government to not go ahead with infrastructure projects in whole or in part, if advised in the public interest', ""Provide for the Board's accountability and transparency"", 'Constitute the Authority with a Chairman and Members']","['Establish the Recovery Commissioner to supervise recovery proceedings', 'Grant the Recovery Commissioner powers of a civil court', 'Facilitate rehabilitation of devadasi victims', 'Establish the Karnataka Devadasi (Prevention, Prohibition, Relief, and Rehabilitation) Act, 2025', 'Grant the Council the power to make regulations']"
P74,Congress will adopt latest state-of-the-art technology for the construction of Kalasa and Banduri dams to undertake desilting of Thungabadra Dam on priority to ensure the 200 TMC of storage is not lost and additional area of agricultural area is brought under irrigation,IRRIGATION - JEEVAJALA,"['Establish Karnataka Professional Civil Engineers Council', 'Amend Karnataka Civil Engineers Act, 1946', 'Allow the State Government to not go ahead with infrastructure projects in whole or in part, if advised in the public interest', 'Constitute an Implementation Committee to oversee development projects', 'Empower the State Government to utilize any part of the land described in Schedule I of the Bangalore Palace (Acquisition and Transfer) Act, 1996']","['Mandate 6.95% of government construction works under Rs. 1 crore to be tendered among Scheduled Tribes', 'Establish the Karnataka Council of Professional Civil Engineers', 'Enhance construction works undertaken by Scheduled Castes and Scheduled Tribes', 'Establish a new hierarchical structure for the Karnataka Land Revenue Department', 'Establish the Karnataka Devadasi (Prevention, Prohibition, Relief, and Rehabilitation) Act, 2025']"
P75,"To provide Rs. 1000 crores for cleaning all important rivers in Karnataka (Kali, Bedthi, Krishna, Tungabhadra, Malaprabha, Bhima, Cauvery, Kabini, Shimsha, Arkavathi, Yagachi, Kumaradhara and Nethravathi Rivers) over a period of 5 years.",IRRIGATION - JEEVAJALA,"['Establish Karnataka Professional Civil Engineers Council', 'Amend Karnataka Civil Engineers Act, 1946', 'Establish Karnataka Motor Transport and Other Allied Workers Social Security and Welfare Board', 'Amend the Karnataka Repealing of Certain Enactments and Regional Laws Act, 2024', 'Repeal the Karnataka Repealing of Certain Enactments and Regional Laws Act, 2024']","['Repeal the Karnataka Transparency in Public Procurements (Amendment) Ordinance, 2023', 'Administer Karnataka State Road Safety Fund through Treasury or Nationalized Bank', 'Establish the Karnataka Devadasi (Prevention, Prohibition, Relief, and Rehabilitation) Act, 2025', 'Repeal the Karnataka Goods and Services Tax (Amendment) Ordinance, 2023', 'Establish a new hierarchical structure for the Karnataka Land Revenue Department']"
P76,To Establish a Gold and Diamond Park of International Standard in Mangaluru ina secure zone with all amenities to attract tourism and trade on par with Dubai.,Industry and Commerce,"['Establish Shree Renuka Yellamma Kshetra Tourism Development Board', 'Create a fund for the development of tourism in the region', 'Establish Dr. H. Narasimaiah Science, Educational, Cultural and Tourism Development Authority', 'Establish the Basavanabagewadi Development Authority', 'Establish the Karavali Development Board for overall development of Karavali area']","['Establish the Karavali Development Board', 'Establish Dr. H. Narasimaiah Science, Educational, Cultural and Tourism Development Authority', 'Establish the Basavanabagewadi Development Authority', 'Establish the headquarters of the Authority at Basavanabagewadi', 'Prescribe different fees and conditions for the port of Mangalore']"
P77,To develop the industrial infrastructure in the border areas of the state Talaped (Kerala) Nippani (Maharastra) Bidar (Maharastara / Telangana) Sarjapura (Tamilnadu) and Srinivasapura (Andrapradesh) established Border Industrial Development Board with the investment of rs. 5000 Crs in five years.,Industry and Commerce,"['Establish Special Investment Regions for large-scale industrial development', 'Create a fund for the development of the area', 'Empower the Board to prepare a comprehensive plan for Karavali Area development', 'Establish a development authority for Mysuru city and adjacent areas', 'Establish the Basavanabagewadi Development Authority']","['Establish the Karavali Development Board', 'Establish the Basavanabagewadi Development Authority', 'Establish the Chandraguthi Shree Renukamba Kshetra Development Authority', 'Establish Shree Chamundeshwari Kshetra Development Authority', 'Establish Shree Huligemma Devi Kshetra Development Authority']"
P78,To provide start-up fund of Rs. 10 crores to each constituency.,Industry and Commerce,"['Establish the Provident or Pension Fund', 'Create a fund for the development of the area', 'Establish the Fund of the Authority', 'Specify the Fund of the Authority', ""Establish a fund for the development authority's operations and projects""]","['Mandate 15% of government construction works under Rs. 1 crore to be tendered among backward castes (Category II(A))', 'Mandate 4% of government construction works under Rs. 1 crore to be tendered among backward castes', 'Increase the threshold for procurement of goods and services from Rs.1.00 crore to Rs.2.00 crores', 'Mandate 17.15% of government construction works under Rs. 1 crore to be tendered among Scheduled Castes', 'Mandate 6.95% of government construction works under Rs. 1 crore to be tendered among Scheduled Tribes']"
P79,"To upgrade through Karnataka Industrial Area Development Board (KIADB) with all the facilities - Tech parks in Mysuru, Mangalore, and Hubli Dharwad with the prospect of creating one lakh employment under IT.",Industry and Commerce,"['Exclude Uttara Kannada and Dakshina Kannada districts from the Malanad Area Development Board Act, 1991', 'Establish Karnataka Motor Transport and Other Allied Workers Social Security and Welfare Board', 'Establish Karnataka Professional Civil Engineers Council', 'Empower the Karnataka Motor Transport and Other Allied Workers Social Security and Welfare Board to make rules', 'Empower the Board to prepare a comprehensive plan for Karavali Area development']","['Include members of the Karnataka Legislative Council in the Malnad Area Development Board', 'Specify the headquarters of the Nadaprabhu Kempegowda Heritage Area Development Authority at Bengaluru', 'Establish the Karnataka Council of Professional Civil Engineers', 'Establish the Karnataka Sheep and Wool Development Corporation Ltd.', 'Establish a new hierarchical structure for the Karnataka Land Revenue Department']"
P80,To reopen Brahmavar Vani Vilas Co-operative sugar factory.,Industry and Commerce,"['Establish Shree Chamundeshwari Kshetra Development Authority', 'Establish the Basavanabagewadi Development Authority', 'Establish Shree Ghati Subramanya Kshetra Development Authority', 'Establish the Chandraguthi Shree Renukamba Kshetra Development Authority', 'Establish a mechanism to regulate and supervise the manufacture of animal feed in Karnataka']","['Establish the Karavali Development Board', 'Establish the Basavanabagewadi Development Authority', 'Specify the headquarters of the Basavanabagewadi Development Authority', 'Specify the headquarters of the Banavasi Development Authority', 'Amend the Basavanabagewadi Development Authority Act, 2024']"
P81,To offer SGST concessions to 2 wheeler and 3 wheeler electric vehicles within urban limits as pollution free Green mobility solution.,Industry and Commerce,"['Grant powers to the Authority to give directions to urban transport agencies', 'Authorize the Authority to approve major Urban Transport projects', 'Require the preparation of Comprehensive Mobility Plan and Sectoral Mobility Investment Program', 'Implement vehicle fitness testing and certification', 'Create a fund for welfare and rehabilitation of motor transport and allied workers']","['Implement a new tax regime for electric vehicles', 'Introduce a new tax deduction for environmentally friendly vehicles', 'Exempt certain vehicles from taxes', 'Allow other means of resource mobilization for Karnataka State Road Safety Fund', 'Establish a scheme for the social security and welfare of motor transport and other allied workers']"
P82,To create a Jean Capital of India in Bellary to boost exports to expand employments opportunities by creating an Apparel park by investing Rs. 5000 Cr,Industry and Commerce,"['Create a fund for the development of the area', 'Create a fund for the development of tourism in the region', 'Allocate premises in Special Investment Regions for industrial and commercial activities', 'Empower Government to give directions and make regulations for Special Investment Regions', 'Establish the Karnataka Sheep and Wool Development Corporation Ltd.']","['Increase the threshold for procurement of goods and services from Rs.1.00 crore to Rs.2.00 crores', 'Establish a recurring expenditure of Rupees twelve lakhs seventy two thousand per annum', 'Establish the Karnataka Sheep and Wool Development Corporation Ltd.', 'Establish the Basavanabagewadi Development Authority', 'Empower State Government to utilize Bangalore Palace land for infrastructure projects']"
P83,"To create a Task Force to assist exporters in improving supply chains, market accessibility, and handholding for increasing exports.",Industry and Commerce,"['Create a machinery with investigating powers to supervise the implementation of the Act', 'Establish a Board of Management and its powers', 'Establish the Board of Management and its powers', 'Empower Government to give directions and make regulations for Special Investment Regions', 'Delegate powers to the Authority to make rules, regulations, and procedures']","[""Create 'Task Force' for special operations under the Act"", 'Specify the role of the Market Development Assistance Fund administration committee', 'Establish Market Development Assistance Fund for financially weak Agricultural Produce Marketing Committees', 'Establish a committee to examine and declare that goods or services are available from a single source', 'Increase the threshold for procurement of goods and services from Rs.1.00 crore to Rs.2.00 crores']"
P84,To offer Start up subsidy upto Rs. 25 lakhs and soft loan upto Rs. One crore @,Industry and Commerce,"['Establish a permanent statutory endowment fund', 'Establish a fund for the Authority and grant powers to raise finances and borrow', 'Establish a fund for financing schemes to provide social security and welfare of Cine and Cultural activists', 'Establish the Provident or Pension Fund', 'Create a fund for the development of the area']","['Increase the threshold for procurement of goods and services from Rs.1.00 crore to Rs.2.00 crores', 'Increase loan recovery fine from one thousand to five lakh', 'Increase maximum settlement amount to three lakh rupees', 'Mandate 17.15% of government construction works under Rs. 1 crore to be tendered among Scheduled Castes', 'Mandate 6.95% of government construction works under Rs. 1 crore to be tendered among Scheduled Tribes']"
P85,"To set up a Welfare Fund worth Rs. 1,000 Crore to provide low-interest loans for small traders and shopkeepers to help revive key sectors of the local economy",MSMEs:,"['Establish a fund for financing schemes to provide social security and welfare of Cine and Cultural activists', 'Create a fund for welfare and rehabilitation of motor transport and allied workers', 'Create the traditional migratory shepherd Welfare Board to administer the fund', 'Establish a permanent statutory endowment fund', 'Establish the Provident or Pension Fund']","['Create a welfare board to administer the fund established under the Act', 'Revise contribution rates to Labour Welfare fund', ""Increase State Government's contribution to Labour Welfare fund"", ""Establish a Fund for Cine and Cultural Activists' Welfare"", 'Increase the threshold for procurement of goods and services from Rs.1.00 crore to Rs.2.00 crores']"
P86,To Reduce stamp duty to MSME for hypothecation and equitable mortgage for bank loans.,MSMEs:,"['Prohibit coercive actions by micro finance institutions and money lending agencies', 'Exempt regulated financial institutions from the Act', 'Institute a decentralised, participative, efficient and equitable governance framework for Bengaluru', 'Establish a Registering Authority for micro loan and small loan transactions', 'Establish the Finance Committee and its powers']","['Raise threshold for stamp duty on loan and debt amounts', 'Increase stamp duty on certain types of transactions', 'Increase stamp duty on certain types of agreements', 'Increase stamp duty on certain types of bonds and guarantees', 'Enable payment of stamp duty by electronic means']"
P87,"To create a revolving fund of Rs. 5,000 crores for tourism development in the state.",Tourism,"['Create a fund for the development of tourism in the region', 'Create a fund for the development of the area', ""Establish a fund for the development authority's operations and projects"", 'Establish Shree Renuka Yellamma Kshetra Tourism Development Board', 'Establish the Fund of the Authority']","['Specify proposal submission process to State Tourism Council', 'Create a fund for the Authority', 'Increase the threshold for procurement of goods and services from Rs.1.00 crore to Rs.2.00 crores', 'Constitute Shree Renuka Yellamma Kshetra Tourism Development Board', 'Establish a recurring expenditure of Rupees twelve lakhs seventy two thousand per annum']"
P88,To provide loans at 5% interest rate and taxi permit to 50 youth in each constituency.,Tourism,"['Protect economically vulnerable groups and individuals from usurious interest rates', 'Establish a Registering Authority for micro loan and small loan transactions', 'Provide for financial allocation in the State Plan to the Board', 'Revise tax structure based on vehicle age', 'Specify the definition of a borrower, coercive action, interest, loan, and lender']","['Revise tax rates for motor cabs based on vehicle cost and age', 'Raise threshold for stamp duty on loan and debt amounts', 'Enhance allowances for telephone and cell phone calls, constituency allowances, and postal charges', 'Increase loan recovery fine from one thousand to five lakh', 'Specify lending norms, collection, and recovery practices']"
P89,To provide 6% interest subvention for loans up to Rs. 5 lakh for any infrastructural development by home-stay owners and to review the legal provisions. ,Tourism,"['Protect economically vulnerable groups and individuals from usurious interest rates', 'Create a fund for the development of the area', 'Establish a fund for the Authority and grant powers to raise finances and borrow', 'Establish a Registering Authority for micro loan and small loan transactions', 'Provide for financial allocation in the State Plan to the Board']","['Increase loan recovery fine from one thousand to five lakh', 'Mandate 6.95% of government construction works under Rs. 1 crore to be tendered among Scheduled Tribes', 'Increase maximum settlement amount to three lakh rupees', 'Increase maximum fine to five lakh rupees', 'Mandate 4% of government construction works under Rs. 1 crore to be tendered among backward castes']"
P90,To give Industry Status to Hotels with more than 20 employees.,Hotel and Hospitality Industry,"['Specify the conditions of service of employees', 'Provide for the appointment of officers and employees of the Board', 'Allocate premises in Special Investment Regions for industrial and commercial activities', 'Establish a Board of Management and its powers', 'Establish the Board of Management and its powers']","[""Revise definition of 'establishment' to include employers with 10 or more persons"", 'Levy a Cess on Related Establishments', 'Require State Government to contribute to the Board for each employee in an establishment', 'Establish District Level Monitoring Committee to review and promote tourism trade', 'Constitute a common cadre of employees for co-operative societies']"
P91,To help small self - employed hotel / Bakery / Sweet Stall sector by offering loan up-to Rs 10 Lakhs with 6% interest,Hotel and Hospitality Industry,"['Establish a Registering Authority for micro loan and small loan transactions', 'Protect economically vulnerable groups and individuals from usurious interest rates', 'Create a fund for the development of the area', 'Establish a fund for the Authority and grant powers to raise finances and borrow', 'Specify user charges for amenities and services in Special Investment Regions']","['Increase loan recovery fine from one thousand to five lakh', 'Review list of board of directors who have borrowed loans from the cooperative', 'Extend 17% reservation in Public sector employment and Educational Institutions to Scheduled Castes', 'Omit the condition for vehicles costing over Rs. 10 Lakhs', 'Raise threshold for stamp duty on loan and debt amounts']"
P92,"To provide 200 units of free electricity to every house - ""GRUHAJYOTHI""",Power and Energy,"['Establish Karnataka Professional Civil Engineers Council', 'Establish Karnataka Motor Transport and Other Allied Workers Social Security and Welfare Board', 'Specify user charges for amenities and services in Special Investment Regions', 'Empower the Karnataka Motor Transport and Other Allied Workers Social Security and Welfare Board to make rules', 'Establish the Karnataka Sheep and Wool Development Corporation Ltd.']","['Provide for the protection of human rights', 'Update the Central Electricity Authority (Measures relating to Safety and Electric Supply) Regulations reference from 2010 to 2023', 'Exempt land for renewable energy projects from conversion requirements', 'Increase house rent allowance for Ministers and Ministers of State', 'Comply with modifications specified in the Central Electricity Authority (Measures relating to Safety and Electric Supply) Regulations, 2023']"
P93,To Offer 25% subsidy upto Rs. 3 lakhs for installing solar appliances for domestic use.,Power and Energy,"['Establish a system for the fixation of fees', 'Create a fund for the development of the area', 'Specify user charges for amenities and services in Special Investment Regions', 'Establish the Provident or Pension Fund', 'Allocate premises in Special Investment Regions for industrial and commercial activities']","['Establish a recurring expenditure of Rupees twelve lakhs seventy two thousand per annum', 'Increase the threshold for procurement of goods and services from Rs.1.00 crore to Rs.2.00 crores', 'Omit the condition for vehicles costing over Rs. 10 Lakhs', 'Modify tax rates for vehicles with cost exceeding Rs. 20 Lakhs', 'Modify tax rates for vehicles with cost exceeding Rs. 5 Lakhs']"
P94,To establish EV charging infrastructure and battery manufacturing units with 50% exemption in SGST and special subsidy,Power and Energy,"['Establish Special Investment Regions for large-scale industrial development', 'Exempt regulated financial institutions from the Act', 'Specify user charges for amenities and services in Special Investment Regions', 'Establish a system for the fixation of fees', 'Establish a system for tracking vehicle insurance']","['Implement a new tax regime for electric vehicles', 'Exempt certain vehicles from taxes', 'Exempt land for renewable energy projects from conversion requirements', 'Exempt certain classes of goods, passengers, vessels, animals, or vehicles from fees', 'Levy a cess under the Karnataka Motor Vehicles Taxation Act, 1957']"
P95,"To encourage more mega Solar Parks, to produce additional generation of 5000 MW Power",Power and Energy,"['Create a fund for the development of the area', 'Create a fund for the development of tourism in the region', 'Establish a Board of Management and its powers', 'Establish Special Investment Regions for large-scale industrial development', 'Specify the areas to be developed by the authority']","['Exempt land for renewable energy projects from conversion requirements', 'Establish a High Power Committee to oversee land use and sale', 'Introduce betterment tax for land value increase', 'Permit construction of public utility activities within specified buffer zones', 'Revise the Master Plan for the Hampi World Heritage Area']"
P96,SHAKTI - Free travel to all women through out the state in regular KSRTC Busses,Transportation,"['Establish Shree Renuka Yellamma Kshetra Tourism Development Board', 'Establish Shree Chamundeshwari Kshetra Development Authority', 'Establish Karnataka Motor Transport and Other Allied Workers Social Security and Welfare Board', 'Establish a fund for the development of the Kshetra', 'Provide reservations for Kannadigas in education and employment']","['Constitute Shree Renuka Yellamma Kshetra Tourism Development Board', 'Introduce reservations for women and Schedule Caste/Schedule Tribe members in co-operative society boards', ""Establish a Karnataka State Motor Transport and Other Allied Workers' Social Security and Welfare Board"", 'Liberate devadasi women and their children from exploitation', 'Impose additional cess on non-transport vehicles for the Karnataka Motor Transport and other Allied Workers Social Security and Welfare Fund']"
P97,To ensure that the strength of Electric Buses is increased sharply so that within 2 years 50% of the buses are Electricity operated.,Transportation,"['Establish a Board of Management and its powers', 'Establish the Board of Management and its powers', 'Specify the powers and functions of the Board', 'Amend Karnataka Civil Engineers Act, 1946', 'Establish the Board of Governors and Board of Management']","['Update the Central Electricity Authority (Measures relating to Safety and Electric Supply) Regulations reference from 2010 to 2023', 'Implement a new tax regime for electric vehicles', 'Comply with modifications specified in the Central Electricity Authority (Measures relating to Safety and Electric Supply) Regulations, 2023', 'Prescribe a limit on the total number of transfers per year to 15% of the working strength in a cadre', 'Establish a two-year time limit for the State Government to remove difficulties']"
P98,To encourage E-vehicles - To make it compulsory to install E- Vehicle Charging points in apartments. Installation of E-Vehicle Charging points in all important junctions and Highways.,Transportation,"['Specify user charges for amenities and services in Special Investment Regions', 'Require the preparation of Comprehensive Mobility Plan and Sectoral Mobility Investment Program', 'Establish a system for the fixation of fees', 'Allocate premises in Special Investment Regions for industrial and commercial activities', 'Specify tax slabs for commercial vehicles']","['Implement a new tax regime for electric vehicles', 'Exempt certain vehicles from taxes', 'Enable payment of stamp duty by electronic means', 'Levy a cess under the Karnataka Motor Vehicles Taxation Act, 1957', 'Exempt certain classes of goods, passengers, vessels, animals, or vehicles from fees']"
P99,To increase the fleet strength of BMTC — to 10000 in five years.,Transportation,"['Establish a Board of Management and its powers', 'Establish the Board of Management and its powers', 'Increase reservation percentage for Scheduled Castes to 17% and for Scheduled Tribes to 7%', 'Establish Special Investment Regions for large-scale industrial development', 'Establish the Bengaluru Metropolitan Land Transport Authority']","['Limit transfers to 15% of working strength in a cadre per year', 'Increase maximum fine to five lakh rupees', 'Increase maximum imprisonment period to ten years', 'Prescribe a limit on the total number of transfers per year to 15% of the working strength in a cadre', 'Increase loan recovery fine from one thousand to five lakh']"
P100,To increase the KSRTC fleet — to 15000 Busses in five years,Transportation,"['Establish a fund for the development of the Kshetra', 'Establish the Bengaluru Metropolitan Land Transport Authority', 'Establish Shree Chamundeshwari Kshetra Development Authority', 'Establish the Chandraguthi Shree Renukamba Kshetra Development Authority', 'Grant powers to the Authority to give directions to urban transport agencies']","['Increase the threshold for procurement of goods and services from Rs.1.00 crore to Rs.2.00 crores', 'Constitute Shree Renuka Yellamma Kshetra Tourism Development Board', 'Introduce 5% additional cess on transport vehicles for the Karnataka Motor Transport and Other Allied Workers Social Security and Welfare Fund', 'Establish the Bengaluru Metropolitan Land Transport Authority with new members, including Mayors and Commissioners of City Corporations', 'Allow other means of resource mobilization for Karnataka State Road Safety Fund']"
P101,To launch arural minibus program in collaboration with public participation,Transportation,"['Empower Ward Committees to become basic units of urban governance and facilitate community participation', 'Authorize the Authority to approve major Urban Transport projects', 'Allow the State Government to not go ahead with infrastructure projects in whole or in part, if advised in the public interest', 'Grant powers to the Authority to give directions to urban transport agencies', 'Create a fund for the development of the area']","['Allow public private partnership model for Nandi Hills Ropeway Project', 'Permit construction of public utility activities within specified buffer zones', 'Allow the State Government to not go ahead with infrastructure projects in whole or in part, if advised in the public interest', 'Specify notice and objection procedures for declaring public streets', 'Establish a scheme for the social security and welfare of motor transport and other allied workers']"
P102,To stop the mining Mafia and stop the loot of natural resources and make suitable changes to mining laws.,"Mining, Forest & Environment Protection","['Provide for attachment of property of persons involved in illegal mining', 'Establish Recovery Commissioner for Seizure and Attachment of Property arising from Illegal Mining and Proceeds of Crime', 'Rationalise and simplify existing laws and regulations', 'Establish a new framework for regional laws', 'Establish the Regulations and Rules for the Authority']","['Amend existing laws to align with new regulations', 'Grant the Council the power to make regulations', 'Empower the State Government to make rules', 'Empower the State Government to make rules to carry out the purposes of this Act', 'Authorize states to tax mineral rights and mineral-bearing lands']"
P103,ANNABHAGYA 10 kgs of free rice supply per person,"Food, Civil Supplies and Consumer issues:","['Impose Cine and Cultural Activists Welfare Cess', 'Increase reservation percentage for Scheduled Castes to 17% and for Scheduled Tribes to 7%', 'Establish Dr. H. Narasimaiah Science, Educational, Cultural and Tourism Development Authority', 'Increase landholdings of Scheduled Castes and Scheduled Tribes to address social and educational backwardness', 'Create a university endowment fund and a general fund']","['Increase maximum settlement amount to three lakh rupees', 'Increase maximum fine to five lakh rupees', 'Establish a recurring expenditure of Rupees twelve lakhs seventy two thousand per annum', 'Increase loan recovery fine from one thousand to five lakh', 'Increase the threshold for procurement of goods and services from Rs.1.00 crore to Rs.2.00 crores']"
P104,Torejuvenate existing Indira Canteens and extend them throughout the state.,"Food, Civil Supplies and Consumer issues:","['Amend the Bombay Public Trust Act, 1950 in its application to the State of Karnataka', 'Empower the State Government to utilize any part of the land described in Schedule I of the Bangalore Palace (Acquisition and Transfer) Act, 1996', 'Establish Karnataka Motor Transport and Other Allied Workers Social Security and Welfare Board', 'Amend Karnataka Civil Engineers Act, 1946', 'Repeal the Karnataka Repealing of Certain Enactments and Regional Laws Act, 2024']","['Repeal certain enactments and regional laws in force in Karnataka State', 'Allow state government to direct Central Drugs Laboratory functions to be carried out in Karnataka', 'Repeal the Karnataka Transparency in Public Procurements (Amendment) Ordinance, 2023', 'Amend the Karnataka Gram Swaraj and Panchayat Raj Act, 1993', 'Establish the Karnataka Devadasi (Prevention, Prohibition, Relief, and Rehabilitation) Act, 2025']"
P105,To fill up all the vacancies of teachers and staff in Government and aided Schools/Colleges within one year,EDUCATION ,"['Grant the power to the Government to issue directions to the University', 'Provide for the appointment of officers and employees of the Board', 'Provide for the appointment of officers and employees of the Authority', 'Establish the Board of Governors and Board of Management', 'Specify examination authorities and centers']","['Insert priority for filling rural vacancies', 'Mandate priority for rural area vacancies in compulsory service', 'Establish Registrar and Deputy Registrar positions with 3-year terms', 'Introduce a time limit for the Government to specify terms and conditions for outsource appointments', 'Require State Government to contribute to the Board for each employee in an establishment']"
P106,Toregulate the fees in the schools and to reduce the fees of BPL Students.,EDUCATION ,"['Establish a system for the fixation of fees', 'Fix the fee structure for the university', 'Fix the fee structure for the University', 'Authorize the Board to collect fees and charges for its services', 'Rationalise and simplify existing laws and regulations']","['Specify condonable limits and compounding fee', 'Authorize State Government to make rules for adjusting fees considering inflation and other conditions', 'Introduce a fee system for building approvals and services', 'Revise fees on goods shipped at prescribed intervals', 'Introduce new fees for building permits and services']"
P107,"The BJP government has distorted the text books by insulting the great souls of Karnataka like Vishwa Guru Basavanna, Rastrakavi Kuvempu. The congress will restore the true values of Bharath and Karnataka and Scientific Temper in the text books to make the students evolved and complete.",EDUCATION ,"['Empower the Karnataka government to take action against violence against advocates', 'Make Kannada the official language of Karnataka', 'Establish the Karnataka Prohibition of Violence Against Advocates Act, 2023', 'Amend the Bombay Public Trust Act, 1950 in its application to the State of Karnataka', 'Repeal the Karnataka Repealing of Certain Enactments and Regional Laws Act, 2024']","['Repeal the Karnataka Gram Swaraj and Panchayat Raj (Amendment) Ordinance, 2023', 'Include members of Karnataka Legislative Council as Ex-officio members in the Basavanabagewadi Development Authority', 'Repeal certain enactments and regional laws in force in Karnataka State', ""Amend the Karnataka Gram Swaraj and Panchayat Raj Act, 1993 to comply with the direction of the Hon'ble High Court of Karnataka"", 'Repeal the Karnataka Transparency in Public Procurements (Amendment) Ordinance, 2023']"
P108,To establish Karnataka State Educational Financial Corporation with a seed money of Rs.2000 Crores for the purpose of bringing all State Scholarships in respect of all the categories under one umbrella for speedy and quick disbursement.,EDUCATION ,"['Establish a private university in the State of Karnataka', 'Establish a private university in the state of Karnataka', 'Establish the Karnataka Sheep and Wool Development Corporation Ltd.', 'Establish Karnataka Professional Civil Engineers Council', 'Establish Karnataka Motor Transport and Other Allied Workers Social Security and Welfare Board']","['Establish the Karnataka Sheep and Wool Development Corporation Ltd.', 'Establish a new private university in Karnataka', ""Establish a Karnataka State Motor Transport and Other Allied Workers' Social Security and Welfare Board"", 'Establish the Karnataka Devadasi (Prevention, Prohibition, Relief, and Rehabilitation) Act, 2025', 'Establish a new hierarchical structure for the Karnataka Land Revenue Department']"
P109,To increase the income limit from Rs.3.5 lakhs to Rs.5 Lakhs under RTE Act for eligibility for admission to schools.,EDUCATION ,"['Increase landholdings of Scheduled Castes and Scheduled Tribes to address social and educational backwardness', 'Increase reservation percentage for Scheduled Castes to 17% and for Scheduled Tribes to 7%', 'Establish a permanent statutory endowment fund', 'Provide reservations for Kannadigas in education and employment', 'Establish Shree Huligemma Devi Kshetra Development Authority']","['Increase maximum settlement amount to three lakh rupees', 'Increase maximum fine to five lakh rupees', 'Increase penalty fine from Rs. 2,000 to Rs. 1 lakh', 'Increase the threshold for procurement of goods and services from Rs.1.00 crore to Rs.2.00 crores', 'Increase loan recovery fine from one thousand to five lakh']"
