promise_id,promise_text,category,evidence_googlenews,evidence_govwebsites
P92,"To provide 200 units of free electricity to every house - ""GRUHAJYOTHI""",Power and Energy,"['Delhi Metro Phase 4 upcoming projects, stations list, latest updates - Housing', 'South Sudan: Funding gaps threaten nearly 2 million displaced people - UN News', 'Implement Tenants in your Amazon SES environment, Part 3: Implementation guide - Amazon Web Services', 'Encampment Resolution Funding Program, Round 2 - California Grants Portal (.gov)', 'Help save 2 million lives: close the vaccine funding gap - Nature']",[]
P96,SHAKTI - Free travel to all women through out the state in regular KSRTC Busses,Transportation,"['Smart travel: Soon, Shakti card to enable women’s travel on buses and Metro in Bengaluru - The Times of India', 'Shakti scheme reaches new milestone with 500 crore women passengers - The Hindu', 'Women avail 474.82 crore free bus rides across Karnataka - The New Indian Express', 'Karnataka floats tender to hire consultant to implement ‘One Nation, One Card’ for state-run buses - Moneycontrol.com']",[]
P100,To increase the KSRTC fleet — to 15000 Busses in five years,Transportation,['Free bus travel for women: Karnataka needs to quickly add buses to cater to spike in demand - Moneycontrol.com'],[]
P95,"To encourage more mega Solar Parks, to produce additional generation of 5000 MW Power",Power and Energy,"['RLWRLD Raises $26M Seed 2, Bringing Total Funding to $41M to Scale Industrial Robotics AI - GlobeNewswire', 'China launches AlSat-3A for Algeria, Ceres-1 sea launch adds to Tianqi constellation - SpaceNews', '1 week away! NASA gearing up to launch Artemis 2 astronauts around the moon on April 1 - Space']",[]
P102,To stop the mining Mafia and stop the loot of natural resources and make suitable changes to mining laws.,"Mining, Forest & Environment Protection",['‘Only 3% of Congress manifesto promises fulfilled’: Report - The Indian Express'],[]
P99,To increase the fleet strength of BMTC — to 10000 in five years.,Transportation,"[""Here's where Trump's promises stand a year into his second term - WCVB"", ""Trump promised peace in Ukraine within a day. Here's what actually happened - NPR"", 'Few have tried OpenAI’s Google killer. Here’s what they think. - The Washington Post']",[]
P97,To ensure that the strength of Electric Buses is increased sharply so that within 2 years 50% of the buses are Electricity operated.,Transportation,"['Chartered Speed deploys 10 electric buses in Arunachal Pradesh - The News Mill', ""EKA Mobility Deploys 100 Electric Buses for Odisha's Capital Region Transport Network - Autocar Professional"", 'India expands electric bus exports with large SWITCH Mobility deployment to Mauritius - domain-b.com', 'EKA Mobility, GreenCell Mobility To Deploy 915 Electric Buses In Hyderabad - BW Auto World', 'EKA Mobility in Consortium with GreenCell Mobility, Secures LOA for 915 E-Buses in Hyderabad Under PM E‑DRIVE Scheme - Entrepreneur India', 'SMART Stage 2 - Department of Transportation (.gov)']",[]
P101,To launch arural minibus program in collaboration with public participation,Transportation,"['U.S. House passes final minibus funding package - National Association of Counties', 'Coimbatore district gets minibus services on 30 routes under new scheme - The Times of India', 'House Appropriations Committee releases three-bill minibus with funding for key health programs - American Hospital Association', '32 new mini bus routes launched in Madurai - The Times of India', 'Mini-buses to serve TN rural areas from December; govt begins identifying routes - The New Indian Express', 'Ambitious bus service improvements unveiled - Dorset Council']",[]
P103,ANNABHAGYA 10 kgs of free rice supply per person,"Food, Civil Supplies and Consumer issues:","['Karnataka govt halts cash allowance, shifts to ‘10 kg rice’ for beneficiaries under Anna Bhagya scheme: Report - Mint', 'Karnataka govt to give money instead of 5 kg additional rice to BPL families. Details here - Mint', 'Anna Bhagya scheme | Karnataka BPL families will get cash instead of free rice promised - The Hindu']",[]
P106,Toregulate the fees in the schools and to reduce the fees of BPL Students.,EDUCATION ,"['How will AI Impact Racial Disparities in Education? - Stanford Law School', 'South Africa: When Strong Institutions and Massive Inequalities Collide - Carnegie Endowment for International Peace', 'The Sustainable Development Goals - Welcome to the United Nations', 'AI-powered success—with more than 1,000 stories of customer transformation and innovation - Microsoft', 'China Is Rapidly Becoming a Leading Innovator in Advanced Industries | Reports & Briefings | Sep 16, 2024 - Information Technology and Innovation Foundation (ITIF)']",[]
P104,Torejuvenate existing Indira Canteens and extend them throughout the state.,"Food, Civil Supplies and Consumer issues:","['Encampment Resolution Funding Program, Round 2 - California Grants Portal (.gov)', 'Help save 2 million lives: close the vaccine funding gap - Nature', 'South Sudan: Funding gaps threaten nearly 2 million displaced people - UN News']",[]
P107,"The BJP government has distorted the text books by insulting the great souls of Karnataka like Vishwa Guru Basavanna, Rastrakavi Kuvempu. The congress will restore the true values of Bharath and Karnataka and Scientific Temper in the text books to make the students evolved and complete.",EDUCATION ,"['Karnataka Assembly Elections 2023 | Congress releases manifesto, promises to repeal ‘anti-people laws’ passed by BJP - The Hindu', 'Karnataka Assembly Elections 2023 | Congress releases manifesto, promises to repeal ‘anti-people laws’ passed by BJP - The Hindu', 'Manifesto - inc.in', 'VA Secretary Doug Collins addresses Veterans’ benefits in new video - VA News (.gov)']",[]
P111,"To bear the college fee of 10% of the government school students on merit who study 6-12th class in Karnataka and secure an MBBS/IIT/IIM/Engineering seat on passing competitive examinations, in any college in India.",EDUCATION ,[],[]
P105,To fill up all the vacancies of teachers and staff in Government and aided Schools/Colleges within one year,EDUCATION ,"['Unlicensed residential care providers in Qld given millions in funding, inquiry hears - Australian Broadcasting Corporation', 'Using LangGraph and MCP Servers to Create My Own Voice Assistant - Towards Data Science', 'Call for Letters of Inquiry for Large Grants for the Cerrado (Brazil) - fundsforNGOs']",[]
P112,To fill up vacancies of staffand doctors in all Government Hospitals.,Health Services,"['Delhi govt. appoints 1,388 nurses; rolls out Ayushman vans to strengthen health services - The Hindu', 'Citizens move to stop privatisation of Mumbai’s Public Hospitals - SabrangIndia', '9,000 posts in health sector filled in 20 months, says A.P. Minister - The Hindu', 'Exclusive: Karnataka Health Minister Dinesh Gundu Rao opposes PPP model, vows to strengthen public hospitals - The South First']",[]
P108,To establish Karnataka State Educational Financial Corporation with a seed money of Rs.2000 Crores for the purpose of bringing all State Scholarships in respect of all the categories under one umbrella for speedy and quick disbursement.,EDUCATION ,"['DSWD-6 eyes implementation of 3 social protection programs - Philippine News Agency', 'RBI postpones implementation of new rules on capital market exposure by 3 months - News On AIR']",[]
P115,"To ensure that everyone gets the medicine at a reasonable price, 10 Kasturba Aushadha Kendras in each Taluk.",Health Services,[],[]
P109,To increase the income limit from Rs.3.5 lakhs to Rs.5 Lakhs under RTE Act for eligibility for admission to schools.,EDUCATION ,"['RBI postpones implementation of new rules on capital market exposure by 3 months - News On AIR', 'AIDA Statistical Update: The Implementation of the Dublin III Regulation in 2024 - European Council on Refugees and Exiles (ECRE) |', 'Delhi Metro Phase 4 upcoming projects, stations list, latest updates - Housing']",[]
P113,"To establish along all the national highways, a fully equipped trauma centre in every 100 KMs.",Health Services,"['Centre releases Rs 3,000 crore for Chennai Metro Phase 2 in current financial year - The New Indian Express', '£2 million funding available for satellite-enabled business solutions - GOV.UK blogs', 'GoPro Mission 1 Series India Launch Timeline: When Will It Be Available in India, Expected Date, Price & Full Key Specifications - The Sunday Guardian', 'AIDA Statistical Update: The Implementation of the Dublin III Regulation in 2024 - European Council on Refugees and Exiles (ECRE) |', 'EndoQuest Robotics Secures Series D-2 Funding Round co-led by Crescent Enterprises and Dr. Fred Moll - GlobeNewswire', 'PM Modi announces 4 astronauts for Gaganyaan: Current status of the mission - The Indian Express']",[]
P110, To upgrade 2500 Government Schools as smart schools in the state.,EDUCATION ,"['Enugu is building 260 smart schools in digital learning overhaul - TechCabal', 'Mbah’s Reforms Transform Enugu: Infrastructure, smart schools, smart city drive state Devt - Vanguard News', 'Katsina Launches Free Smart Schools For Rural Students - LEADERSHIP Newspapers', 'How Mbah’s Smart Schools are driving change in rural communities - Businessday NG', 'Minister Lokesh launches smart kitchens in government schools - The New Indian Express', 'West Bengal to develop 430 smart schools with Rs 1600 crore ADB funds - APAC News Network']",[]
P114,To extend Rashtriya Swasthya Bhima Yojna and bring all the health schemes under one umbrella and extend it to gig workers.,Health Services,"['Can Mamdani Fulfill His Ambitious Campaign Promises? - Time Magazine', 'Trump made 10 key pledges a year ago – here’s what happened since then - The Guardian']",[]
P116,"To establish one Jayadeva like Heart Hospital, Kidwai like Cancer Hospital and NIMHANS type Psychiatric Hospitals in each revenue Division.",Health Services,['‘Only 3% of Congress manifesto promises fulfilled’: Report - The Indian Express'],[]
P119,To waive offall Housing Loans under various Government Housing Schemes as a onetime measure.,Housing,[],[]
P117,Puneeth Rajkumar Heart Health Scheme To offer subsidy to Doctors/ Clinics/Nursing Home to buy DEFIBRILLATOR (AED).,Health Services,"['Karnataka Assembly Elections 2023 | Congress releases manifesto, promises to repeal ‘anti-people laws’ passed by BJP - The Hindu']",[]
P121,"To increase the celing and reservation from 50% to 75% to accommodate the hopes and aspirations of SC/ST/OBC/Minority/ and other communities like Lingayat and Vokkliggas. The Congress party committed to increase reservation for SC’s from 15% to 17%, for ST’s 3% to 7%, and restore minority reservation 4% and increase reservations Lingayat’s, Vokkaliggas’s and other communities and to pursue for inclusion in the 9th Schedule of the Constitution.",SC/ST/OBC/ Minority Communities,[],[]
P123,To present the report of Justice Sadashiva Commission in the first session of the Legislative Assembly and Legislative Council and the Congress Party will strive to get justice to all the sub-groups and urge the Union Government to accept it.,SC/ST/OBC/ Minority Communities,[],[]
P118,"To ensure that all homeless families in Karnataka have a dwelling house under the existing schemes, within 5 years.",Housing,"['Rajiv Gandhi Housing Scheme: Eligibility, Benefits, Documents and How to Apply in 2026 - Trade Brains', 'In Modi govt’s ‘housing for all’: 83% homes not for landless poor, lopsided growth - Newslaundry', 'RGRHCL: Benefits, eligibility, beneficiary status 2025 check online - Housing', 'Officials urged to raise awareness on schemes available for nomadic communities - The Hindu']",[]
P125,"To provide every year, subsidy and loan with 3% interest to 25,000 youth of SC/ST communities under Airavata Scheme, for purchase of Taxi, Goods, Vehicle, three wheelers, four wheelers and other vehicles for selfemployment.",SC/ST/OBC/ Minority Communities,[],[]
P127,"To set up Rs. 1000 Crore revolving fund - ""Dr Bhimrao Ramji Ambedkar Entrepreneurship Fund"" - for organizing entrepreneurship development and incubation programs for SC entrepreneurs.",SC/ST/OBC/ Minority Communities,[],[]
P120,To increase State Government subsidy of Rs. 3.5 lakhs to housing projects of the poor,Housing,"['State to give additional ₹3.5 lakh per house for poor under PM Awas Yojana - The Hindu', 'Marine subsidies are a mess, say small scale fishers of southern Karnataka - Mongabay-India', ""13,000 poor families in B'luru to lose homes over unpaid dues - Deccan Herald"", 'Facing revenue, debt concerns, Opposition attacks, Siddaramaiah stays the welfare course - The Indian Express']",[]
P128,"To create a new ""Smt. Savitri Bai Pule Education Scheme to give Monthly incentives of Rs.150/- for students from | st Std. to Sth Standard, Rs.300/- for 6th to 10 std. students to be given. The incentive to be transferred to the Bank account of the mother of the student.",SC/ST/OBC/ Minority Communities,[],[]
P122,To release the Socio-Economic caste censes conducted by the congress government and accord social justice accordingly,SC/ST/OBC/ Minority Communities,['RCAP Jurisdictional assessments: regulatory implementation consistency - Bank for International Settlements'],[]
P130,"To identify youths belonging to Pambada, Nalike, Parava and Kudbi of Dakshina Kannada and Udupi districts and to ensure 100% housing and also to train boys and girls for jobs.",SC/ST/OBC/ Minority Communities,"['How States Can Direct Economic Development to Places and People in Need - The Pew Charitable Trusts', '3. Improvements ahead: How humans and AI might evolve together in the next decade - Pew Research Center', 'NHS Long Term Workforce Plan - NHS England', 'AI-powered success—with more than 1,000 stories of customer transformation and innovation - Microsoft']",[]
P124,To provide house to all SC/ST families in the next five years. Government to build houses for SC/STs,SC/ST/OBC/ Minority Communities,"['BCBS dashboards - Bank for International Settlements', 'Delhi Mumbai Expressway: Route, completion date and status - Housing', 'Second Avenue Subway funding restored for Phase 2 - Railway Supply', ""Here's where Trump's promises stand a year into his second term - WCVB"", 'Search-and-rescue in the Central Mediterranean Route does not induce migration: Predictive modeling to answer causal queries in migration research - Nature']",[]
P126,To take action to fill all the backlog vacancies within one year.,SC/ST/OBC/ Minority Communities,"['CBP Confirms April 20, 2026 Launch of Phase 1 of the IEEPA Tariff Refund Process - thompsonhinesmartrade.com', ""Here's where Trump's promises stand a year into his second term - WCVB"", 'RCAP Jurisdictional assessments: regulatory implementation consistency - Bank for International Settlements', 'The state of AI in 2025: Agents, innovation, and transformation - McKinsey & Company']",[]
P133,To construct 50 new Ekalavya residential schools in the next five years,SC/ST/OBC/ Minority Communities,[],[]
P131,To increase the insurance maturity amount given under the Bhagya Lakshmi scheme Rs.3 Lakhs to SC/ST families.,SC/ST/OBC/ Minority Communities,[],[]
P132,To establish 100 Aranya Kendras in tribal areas to help and guide them in primary processing and value additions for their produce.,SC/ST/OBC/ Minority Communities,"['PM launches Rs 1 Lakh Crore Research, Development and Innovation Scheme - Department of Science & Technology (DST)', 'Encampment Resolution Funding Program, Round 2 - California Grants Portal (.gov)', 'Implement Tenants in your Amazon SES environment, Part 3: Implementation guide - Amazon Web Services']",[]
P134,To send 100 people from the leather based traditional artisans abroad for better training.,SC/ST/OBC/ Minority Communities,"['Looking to sell your extra stuff? Here are the best resale apps and websites so you can make some extra cash - CNBC', 'I Asked Four Former Friends Why We Stopped Speaking. Here’s What I Learned - Vogue', 'Dealing with Inequality - the Promise and Pitfalls for Social Media and AI for Prostate Cancer in Disadvantaged Populations ""Presentation"" - Stacy Loeb - UroToday']",[]
P137,"To establish Micro Backward Comminutes Development Corporation with annual budget of Rs. 500 Cr, a total of Rs. 2500 Crin 5 years",SC/ST/OBC/ Minority Communities,[],[]
P136,"To establish Brahmashri Narayana Guru Development Corporation with annual budget of Rs. 500 Cr, a total of Rs. 2500 Cr in 5 years",SC/ST/OBC/ Minority Communities,['LangGraph 101: Let’s Build A Deep Research Agent - Towards Data Science'],[]
P135,"To setup Rs 5000 crore revolving fund ""Socio-economic welfare Fund"" for the overall welfare of OBC communities involved in sculpting, pottery, weaving and other traditional occupations.",SC/ST/OBC/ Minority Communities,"['How Shark Tank India changed startup funding in tier 2-3 cities - YourStory.com', 'DSWD-6 eyes implementation of 3 social protection programs - Philippine News Agency', 'RLWRLD Raises $26M Seed 2, Bringing Total Funding to $41M to Scale Industrial Robotics AI - GlobeNewswire', 'South Sudan: Funding gaps threaten nearly 2 million displaced people - UN News', 'The AlleyWatch Startup Daily Funding Report: 2/24/2026 - AlleyWatch']",[]
P139,To increase the grants to all development Corporations and Boards.,SC/ST/OBC/ Minority Communities,"['After rolling out guarantees, Karnataka to hire consultant for ‘innovative capital funding’ in five... - Moneycontrol.com', 'Viksit Bharat G Ram G Act Secures Rural Lives: MP Shri Kota Srinivas Poojary - PIB', 'Karnataka’s 2025 Budget Focus on Affordable Housing & Infrastructure - Realty Plus Magazine']",[]
P129,"To open Literature, cultural and Arts academy under Kannada and Culture department for 46 castes of SC and ST, Nomedic and Semi-nomedic and OBC Category-I",SC/ST/OBC/ Minority Communities,"['India: top Google search queries 2025 - Statista', 'Amity University Gurugram Honoured with NEP 2020 Implementation Excellence Award (Gold Category) - ANI News', 'PM launches Rs 1 Lakh Crore Research, Development and Innovation Scheme - Department of Science & Technology (DST)']",[]
P140,"To provide collateral-free loans up to 10 lakhs at 3% interest to 50,000 OBC entrepreneurs.",SC/ST/OBC/ Minority Communities,"['How to use Google to search - Search Engine Land', 'Dexcelerate Platform Guide: DEX Trading vs Centralized Exchanges 2026 - Bitget', 'Dexcelerate Platform & App Review: DEX Features, Fees & Comparison Guide - Bitget']",[]
P143,To establish Tigala Development Board.,SC/ST/OBC/ Minority Communities,"['Explained: Karnataka’s Brahmin Development Board and its two schemes for brides - The Indian Express', 'Funds for only 7 out of 24 caste-based corps in Karnataka - Deccan Herald', 'Here are the highlights of BJP manifesto - Vartha Bharati']",[]
P138,"To constitute Development Corporations for the welfare of Tigala, Madiwala,Savitha, Uppara, Balija and Alemari Budakatu communities and provide dedicated budget",SC/ST/OBC/ Minority Communities,"['Delhi Mumbai Expressway: Route, completion date and status - Housing', 'RBI postpones implementation of new rules on capital market exposure by 3 months - News On AIR']",[]
P145,"To give special focus to the development of listed marginal communities and to establish Alemari Budakattu Board for this purpose with Rs. 1,000 crores.",SC/ST/OBC/ Minority Communities,[],[]
P141,"To provide scholarships every year to 1000 SC/ST/OBC students, who secure PG seat at foreign universities.",SC/ST/OBC/ Minority Communities,"['DSWD-6 eyes implementation of 3 social protection programs - Philippine News Agency', 'Implement Tenants in your Amazon SES environment, Part 3: Implementation guide - Amazon Web Services']",[]
P142,"To enhance monthly fellowships from Rs.5,000 to Rs 10,000 for backward class students enrolled to PhD in state universities.",SC/ST/OBC/ Minority Communities,"['Encampment Resolution Funding Program, Round 2 - California Grants Portal (.gov)', 'Exploring a comprehensive support system for college seniors. - Psychology Today', 'Help save 2 million lives: close the vaccine funding gap - Nature', 'GoPro Mission 1 Series India Launch Timeline: When Will It Be Available in India, Expected Date, Price & Full Key Specifications - The Sunday Guardian']",[]
P147,To offer Rs.2000 Every month to each and every women head of the family GRUHA LAKSHMI project,Women and Children - Naari Shakthi,"[""Karnataka's Gruha Lakshmi Scheme: Registrations begin from July 19; a step-by-step guide to apply for the scheme - Zee Business"", ""Registration for 'Gruha Lakshmi' scheme commences in Karnataka - Deccan Herald"", 'Congress\'s Rs 2,000/Month Promise For ""Women Head Of Family"" In Karnataka - NDTV']",[]
P144,"The most backward communities are under Category-I. 12% of the population is under this category. As per the report of the Havanur Commission, 58 of the castes have the character of tribals. Nomadic and semi-nomadic castes are also under this category. The castes under this category have got abysmal share in Education, Employment and Industry. Earlier, these castes were getting the benefits available to the SC/STs. A comprehensive plan for their total
development will be envisaged.",SC/ST/OBC/ Minority Communities,"['South Sudan: Funding gaps threaten nearly 2 million displaced people - UN News', 'Delhi Metro Phase 4 upcoming projects, stations list, latest updates - Housing', 'Nagaland State Sambad Lottery Result Today, 19-04-2026 LIVE: Dear 1PM Tuesday Weekly Lucky Draw For Rs 1 Crore - Goodreturns']",[]
P148,"To support 5,000 women entrepreneurs every year for entrepreneurial development.",Women and Children - Naari Shakthi,"['The state of AI in 2025: Agents, innovation, and transformation - McKinsey & Company', 'The AlleyWatch Startup Daily Funding Report: 2/24/2026 - AlleyWatch', 'How Shark Tank India changed startup funding in tier 2-3 cities - YourStory.com', 'South Sudan: Funding gaps threaten nearly 2 million displaced people - UN News']",[]
P146,"To provide Rs. 30,000 per annum to weavers with spinning wheels to modernize their looms.",Weavers:,"['Watch live today: Blue Origin reusing New Glenn rocket stage for 1st time ever - Space', 'Bluetongue: latest situation - GOV.UK']",[]
P153,"The Congress Party is committed to the welfare of all citizens and groups, including minorities, as per the Constitution of India. Accordingly, the allocation of funds for the minority welfare — Muslim, Christian, Jain, Buddhists and others, would be increased to Rs. 10,000 Cr",Religious Minorities,"['Citizens and the State: Policing, Impunity, and the Rule of Law in India - The Hindu Centre']",[]
P150,"To nurture 5000 Stree Shakti micro-enterprises over 5 years and to encourage them to take up 21st century needs like food processing, catering, mobile canteens, solid waste management, parking management.",Women and Children - Naari Shakthi,"['The state of AI in 2025: Agents, innovation, and transformation - McKinsey & Company', 'Implement Tenants in your Amazon SES environment, Part 3: Implementation guide - Amazon Web Services', 'The State of Fashion 2026: When the rules change - McKinsey & Company']",[]
P151,"To provide Rs.50 lakhs grant to the Grama Panchayaths which elect women as the Chairperson, over looking specific reservations",Women and Children - Naari Shakthi,"['Punjab govt issues notification for implementation of financial assistance scheme for women - ABP News', 'Pradhan Mantri Awas Yojana 2026: Beneficiaries, online, offline application - Housing', 'India – Implementation of BIS Scheme X Certification Requirement for Electrical Equipment Postponed - MPR India Certification']",[]
P149,To increase allocation of funds to Stree Shakthi Sanghas.,Women and Children - Naari Shakthi,"['How Shark Tank India changed startup funding in tier 2-3 cities - YourStory.com', 'RBI postpones implementation of new rules on capital market exposure by 3 months - News On AIR', 'RLWRLD Raises $26M Seed 2, Bringing Total Funding to $41M to Scale Industrial Robotics AI - GlobeNewswire', 'DSWD-6 eyes implementation of 3 social protection programs - Philippine News Agency']",[]
P152,"To provide 50% subsidy on buying electric scooters to frontline health workers namely ANM, Anganwadi and ASHA workers.",Women and Children - Naari Shakthi,['How Shark Tank India changed startup funding in tier 2-3 cities - YourStory.com'],[]
P156,To provide Self-employment grants for taking up small business to all Gender Minorities upto Rs.2 lakhs.,GENDER MINORITIES,"['Top 5 Financial Scams Targeting Older Adults and How to Avoid Them - The National Council on Aging (NCOA)', 'AI-powered success—with more than 1,000 stories of customer transformation and innovation - Microsoft', 'Regulating Algorithmic Content Distribution and Moderation by Online Platforms - R Street Institute']",[]
P154,To allot Rs.15 crores to start Kashmiri Culture Centre Allotting one time grant of Rs.25 crore and annual grant of Rs. One crore from the Department of Kannada Culture,Kashmiri Pandits:,"['Can Mamdani Fulfill His Ambitious Campaign Promises? - Time Magazine', 'Trump Promises $1,776 ‘Warrior Dividend’ for Troops—Here’s What Service Members Need to Know - Military.com', '25 Alternative Search Engines You Can Use Instead Of Google - Search Engine Journal', 'The State of Fashion 2026: When the rules change - McKinsey & Company']",[]
P155,Toestablish a Mangalamukhi Welfare Board by allotting Rs.200 crores annually.,GENDER MINORITIES,"['Delhi Mumbai Expressway: Route, completion date and status - Housing', 'RBI postpones implementation of new rules on capital market exposure by 3 months - News On AIR']",[]
P159,To offer Hazardous pay and insurance cover of Rs. 10 Lakh to each,Pourakarmikas,"['Karnataka passes bill to provide social security for gig workers, mandates welfare fee on aggregators - The New Indian Express', 'Ballari workers receive smart cards - The Times of India', '8 ways employees will benefit from the implementation of new Labour Codes - The Economic Times', 'These workers will get gratuity after 1 year instead of 5 years; more benefits for other workers under new - The Economic Times', 'New labour codes explained: 10 types of employees who will benefit immensely from revised rules - The Economic Times']",[]
P161,"To develop dedicated hawker zones in all district HQs and to provide one-time financial assistance of Rs. 20,000 to street vendors to set up their shops in these zones. ",Street Vendors,['Karnataka Congress releases manifesto — from welfare schemes for women and farmers to salaries and pensions - CNBC TV18'],[]
P157,"To regularise all 25,000 Pourakarmikas with all the relevant facilities.",Pourakarmikas,"['Delhi Mumbai Expressway: Route, completion date and status - Housing', 'BCBS dashboards - Bank for International Settlements', 'OpenAI closes record-breaking $122 billion funding round as anticipation builds for IPO - CNBC', 'Second Avenue Subway funding restored for Phase 2 - Railway Supply', 'The Sustainable Development Goals - Welcome to the United Nations', 'Drought Status Update for the Southeast - Drought.gov']",[]
P160,To set up Auto Drivers' Board and Taxi Drivers' Welfare Board funding with Rs. 50 Crs to each and encouragement for self-employment.,Drivers:,"[""Here's where Trump's promises stand a year into his second term - WCVB"", ""Trump promised peace in Ukraine within a day. Here's what actually happened - NPR""]",[]
P163,"Tocreate Sharavana Kumara Senior citizens welfare fund - Rs.1,000 Crore.",Senior Citizens:,[],[]
P158,Recruitment of additional Pourakarmikas.,Pourakarmikas,"['Current status of the four FIRs and what the defence counsel say - The Indian Express', 'Funding Opportunity Announcement: SBIR/STTR FY 2022 Phase I Release 2 - Department of Energy (.gov)', 'Opinion | Noam Chomsky: The False Promise of ChatGPT (Published 2023) - The New York Times', 'Trump Promises $1,776 ‘Warrior Dividend’ for Troops—Here’s What Service Members Need to Know - Military.com', 'Ukraine: Current status of nuclear power installations - Nuclear Energy Agency (NEA)', 'TAKE 3: The Year of Climate Ambition & Granular Implementation - TERI']",[]
P164,To offer free Pilgrimage to one of the 15 holy places of Karnataka and one of the 10 holy places of India once in two years.,Senior Citizens:,"['Trip of faith: Govt efforts, growing interest among travellers give religious tourism a renewed push - The Financial Express', 'Mahakumbh 2025: A Spectacle of Faith, Unity, and Tradition - PIB', 'Kailash Mansarovar Yatra 2025: Route, dates, guidelines and significance - Business Standard', 'I Used ChatGPT To Teach Me Hindi FAST: Here Is What I Learned In 20 Minutes! - DataDrivenInvestor']",[]
P166,To provide Rs.3 lakhs interest free loan to take up self-employment to the diabled women.,Persons otherwise able,"['PMEGP Scheme: A Complete Guide for Aspiring Entrepreneurs in India - Entrepreneur India', 'Press Note Details - PIB', 'Budget 2025 Highlights: PDF Download, Key Takeaways and Important Points - ClearTax', 'Udyogini Scheme: Objectives, Eligibility, Application Process - Physics Wallah']",[]
P162,"To establish a Gig Workers' Welfare Board with allotment of Rs.3,000 Crs as seed money for revolving fund.",Gig and Un-organised Workers,"['Encampment Resolution Funding Program, Round 2 - California Grants Portal (.gov)']",[]
P165,"To increase the one-time subsidy provided to senior citizens from Karnataka for pilgrimages to Kashi, Mathura and Kailash Mansarovar Yatra. ",Senior Citizens:,"['Google Search: Introducing AI Mode in India - blog.google', 'ChatGPT Statistics (2026) – Active Users & Growth Data - DemandSage', 'Total Debt of India: Internal, External, Long-Term and Economic Impact - ClearTax', 'How to apply for 30 hours government funded childcare for working parents and find out if you’re eligible - GOV.UK blogs', 'Long-COVID research just got a big funding boost: will it find new treatments? - Nature']",[]
P168,To provide free bus pass and to one accompanying person.,Persons otherwise able,"['Search-and-rescue in the Central Mediterranean Route does not induce migration: Predictive modeling to answer causal queries in migration research - Nature', ""Here's where Trump's promises stand a year into his second term - WCVB"", 'Opinion | Noam Chomsky: The False Promise of ChatGPT (Published 2023) - The New York Times']",[]
P169,"To Set up Karnataka Institute of Speech and Hearing, similar to the All India Institute of Speech and Hearing in all revenue divisions of Karnataka. ",Persons otherwise able,"['SMART Stage 2 - Department of Transportation (.gov)', 'China launches AlSat-3A for Algeria, Ceres-1 sea launch adds to Tianqi constellation - SpaceNews']",[]
P167,"To create a Rs 50 Crore ""Vidhya Deepa Nidhi"" disabled youth scholarship fund to ensure access to higher education both in India and abroad.",Persons otherwise able,"['Encampment Resolution Funding Program, Round 2 - California Grants Portal (.gov)', 'Nagaland State Sambad Lottery Result Today, 19-04-2026 LIVE: Dear 1PM Tuesday Weekly Lucky Draw For Rs 1 Crore - Goodreturns', 'GoPro Mission 1 Series India Launch Timeline: When Will It Be Available in India, Expected Date, Price & Full Key Specifications - The Sunday Guardian', 'Help save 2 million lives: close the vaccine funding gap - Nature']",[]
P172,"To make special scheme for providing land, house and site to ex-servicemen and to exempt from House Tax, Water Tax and upto Rs.2,000 Electricity Bill for their own residences.",Veteran Army personnel,"['ChatGPT took people by surprise – here are four technologies that could make a difference next - The Conversation', 'WATCH: Johnson says he won’t promise ACA vote in the House as part of a shutdown deal - PBS', 'I Asked Four Former Friends Why We Stopped Speaking. Here’s What I Learned - Vogue']",[]
P170,"To establish ""Field Marshal General Kariappa Ex-servicemen Development Board with Rs.500 Crores revolving fund to provide financial assistance to ex- servicemen to upto Rs.10 lakhs @ 5% interest to start self- employment/entrepreneurship.",Veteran Army personnel,"['The Future of SEO 2026: What Melbourne Business Owners Need to Know - vocal.media', 'Long-Tail SEO in an AI World - Practical Ecommerce', 'Why AI optimization is just long-tail SEO done right - Search Engine Land']",[]
P173,Establishment ofa a Journalist Welfare Fund with seed money of Rs.500 Crores.,Journalists,"['Help save 2 million lives: close the vaccine funding gap - Nature', 'RBI postpones implementation of new rules on capital market exposure by 3 months - News On AIR', 'Encampment Resolution Funding Program, Round 2 - California Grants Portal (.gov)']",[]
P171,Topush forONE RANK ONE PENSION for Ex-Servicemen,Veteran Army personnel,"[""Exploring Connor Bedard's financial status in 2026: A look at his career earnings, current salary, brand - The Times of India"", 'DSWD-6 eyes implementation of 3 social protection programs - Philippine News Agency', 'Funding and acquisitions in Indian startup this week [Apr 13 - Apr 18] - Entrackr']",[]
P174,"To assist establishing Advocate Bhavans in Corporation, cities and District Headquarters.",Advocates,"['Implement Tenants in your Amazon SES environment, Part 3: Implementation guide - Amazon Web Services', 'Encampment Resolution Funding Program, Round 2 - California Grants Portal (.gov)', 'SMART Stage 2 - Department of Transportation (.gov)', 'The state of AI in 2025: Agents, innovation, and transformation - McKinsey & Company', 'RCAP Jurisdictional assessments: regulatory implementation consistency - Bank for International Settlements']",[]
P178,To establish Bharatha Ratna CNR Fund with 500 crores corpus for basic scientific research for youth.,"Youth, Employment and Sports",[],[]
