promise_id,promise_text,verdict,confidence
P238,To review Kasturi Rangan Report and to frame New Western Ghat Policy for Forest and Environmental protection.,In Progress,0.2
P239,To develop a robust action plan to setup Beach Tourism in Mangalore Udupi and Karwar districts. Coastal Beach Tourism Authority.,In Progress,0
P240,To make Mangaluru internationally competitive IT centre to increase employment opportunities and establish an IT Park.,Completed,0.6
P241,To undertake the following programmes for the overall development of fishermen community: . Insurance Cover . Interest free loan upto Rs. One lakh to all fisher-women . 50% subsidy to buy well equipped fishing boats. . Increasing the diesel quantity upto 500 litres per day. . Providing appropriate transportation from dock to Market.,In Progress,0
P242,"To upgrade the NHs through Shiradi, Charmadi and Sampaje into all whether proof 6 lane NHs connecting Mangaluru to Bengaluru and make efforts to improve the Railway Connections.",In Progress,0
P243,To develop Sasihitlu Sea Shore as International Surfing Centre.,In Progress,0
P244,To provide a Permanent dredging Machine to Mangaluru Fisheries Port,In Progress,0.5
P245,"To set up two Fish Processing Parks in each of the coastal districts (Uttara Kannada, Dakshina Kannada and Udupi) and to set up required number of cold storage units to store marine products.",In Progress,0.5
P246,To construct new ring road to Mandya.,In Progress,0.3
P247,To invest Rs.5000 crores for the overall development of Mysuru Karnataka.,Completed,0.5
P248,To rejuvenate Mysugar Factory and to plan and establish new sugar factories in Mandya,Completed,0.5
P249,To build international standard Dr. Raj Kumar Film City in Mysuru with Rs.500 Crore Budget.,In Progress,0
P250,"To start an exclusive Sports University in Mysuru and make it as a World-Class sports hub. And, to build an International Sports Complex in Mysuru.",Completed,0.5
P251,"To enact a comprehensive legislation exclusively for the management of BBMP bringing all service providers such as Water Supply and sewage, transport, housing, power and development authorities, under a single agency",Completed,0.83
P252,"To construct North South, South-east long elevated flyovers with necessary wings ease the traffic.",In Progress,0.5
P253,"To get all pending metro projects completed under Phase 2, Phase 2A, Phase 2B within one year of coming to power. To strive to get approval and completion of Phase 3 and Phase 4 in the next five years and to extend Metro upon Tumkuru, Vasanta Narasapura Industrial Hub. ",Completed,0.7
P254,To establish Mega Bengaluru Planning Committee.,Completed,0.5
P255,Construction of tunnel roads in CBD area to decongest traffic on PPP Model,In Progress,0.5
P256,To take-up on priority suburban railway project and build proper footpaths,In Progress,0
P257,To bring out a new Policy to develop the residential and commercial infrastructure around the outer ring roads.,Completed,0.6
P258,To rename slums as Workers' Residential Zones and effect proper Housing Projects and give ownership titles of houses and sites.,In Progress,0
P259,"To create a system for seamless integration of Namma Metro, Suburban Rail",Completed,0.6
P260,Projects and Public Transportation Systems named after Puttanna Chettty.,In Progress,0.5
P261,"To constitute a 'Maha Bengaluru Samsthan' involving urban governance experts, industrialists, economists, and environmentalists to help BBMP revive the lost glory of Bengaluru through its administration.",In Progress,0.5
P262,To add 5000 new electric buses to BMTC's fleet to reduce pollution and make BMTC more energy efficient.,In Progress,0
P263,To introduce e-rickshaws to improve first-mile and last-mile connectivity in the city of Bengaluru.,Completed,0.4
P264,To install public charging/ battery swapping points at every metro station and bus stands to provide charging infrastructure.,Completed,0.5
P265,To provide free bus passes to BBMP pourakarmikas.,Completed,0.6
P266,To complete the peripheral ring road and outer ring road projects on a priority basis to ease traffic congestion in the city.,Completed,0.95
P267,To approve the updated Master Plan 2042 for a sustainable and planned development of the Bengaluru city keeping in mind the needs ofall residents.,In Progress,0
P268,Implement Karnataka Apartment Ownership Act to ensure that Builders conveybthe whole property to Apartment owners including rights in Building and land underneath.,In Progress,0
